Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Lyons-Brussels;1331.0;1331.0;4844.0;3.933906555175781e-05;2.86102294921875e-05;0.0027856826782226562;
Cologne-Gibraltar;2436.0;2436.0;0;4.649162292480469e-05;5.7220458984375e-05;0.1104271411895752;
Geneva-Brussels;1436.0;1436.0;5002.0;3.0040740966796875e-05;7.05718994140625e-05;0.0030705928802490234;
Hook of Holland-Munich;1373.0;1373.0;0;4.029273986816406e-05;3.361701965332031e-05;0.10232281684875488;
Barcelona-Brussels;1530.0;1530.0;4199.0;3.933906555175781e-05;4.291534423828125e-05;0.0020122528076171875;
Munich-Marseilles;949.0;949.0;0;2.4318695068359375e-05;2.4557113647460938e-05;0.10931158065795898;
Stockholm-Barcelona;2908.0;2908.0;0;5.0067901611328125e-05;4.935264587402344e-05;0.12609624862670898;
Cherbourg-Lisbon;1827.0;1827.0;0;3.4809112548828125e-05;4.267692565917969e-05;0.054506778717041016;
Milan-Barcelona;1131.0;1131.0;0;2.1457672119140625e-05;2.2649765014648438e-05;0.14503908157348633;
Lyons-Hook of Holland;1503.0;1503.0;0;3.981590270996094e-05;4.172325134277344e-05;0.15750360488891602;
Stockholm-Paris;1376.0;1376.0;0;2.47955322265625e-05;1.71661376953125e-05;0.1429438591003418;
Rome-Copenhagen;2035.0;2035.0;0;4.553794860839844e-05;4.6253204345703125e-05;0.21215486526489258;
Rome-Lyons;1048.0;1048.0;6475.0;1.8835067749023438e-05;1.5974044799804688e-05;0.003614187240600586;
Milan-Cherbourg;1181.0;1181.0;0;2.8371810913085938e-05;2.7418136596679688e-05;0.12344145774841309;
Gibraltar-Munich;2565.0;2565.0;0;3.62396240234375e-05;4.267692565917969e-05;0.10516929626464844;
Marseilles-Cologne;1035.0;1035.0;1217.0;2.6941299438476562e-05;2.1457672119140625e-05;0.0019707679748535156;
Hamburg-Milan;1136.0;1136.0;0;3.0040740966796875e-05;2.5510787963867188e-05;0.13071703910827637;
Vienna-Geneva;1087.0;1087.0;0;1.7881393432617188e-05;1.3589859008789062e-05;0.19488310813903809;
Vienna-Gibraltar;2965.0;2965.0;0;3.457069396972656e-05;5.7220458984375e-05;0.12010025978088379;
Marseilles-Munich;1109.0;1109.0;0;3.337860107421875e-05;2.765655517578125e-05;0.11641407012939453;
Geneva-Paris;1193.0;1193.0;0;3.24249267578125e-05;2.6702880859375e-05;0.1357250213623047;
Hook of Holland-Cologne;922.0;922.0;1516.0;3.743171691894531e-05;2.002716064453125e-05;0.001550436019897461;
Cherbourg-Milan;1209.0;1209.0;0;3.147125244140625e-05;3.170967102050781e-05;0.13895368576049805;
Milan-Gibraltar;2303.0;2303.0;0;2.8371810913085938e-05;5.6743621826171875e-05;0.12809038162231445;
Lisbon-Barcelona;1823.0;1823.0;0;2.3603439331054688e-05;1.7404556274414062e-05;0.13696861267089844;
Lisbon-Rome;2918.0;2918.0;0;2.7179718017578125e-05;5.0067901611328125e-05;0.20337343215942383;
Hook of Holland-Hamburg;729.0;729.0;2662.0;2.3603439331054688e-05;1.33514404296875e-05;0.0017783641815185547;
Stockholm-Cherbourg;1650.0;1650.0;0;2.3365020751953125e-05;2.6941299438476562e-05;0.14174747467041016;
Brussels-Calais;2069.0;2069.0;7369.0;4.506111145019531e-05;5.6743621826171875e-05;0.00461268424987793;
Athens-Rome;3833.0;3833.0;0;2.288818359375e-05;4.887580871582031e-05;0.2088916301727295;
Munich-Lyons;724.0;724.0;724.0;1.9311904907226562e-05;1.2159347534179688e-05;0.0006909370422363281;
Vienna-Cologne;1381.0;1381.0;2626.0;4.076957702636719e-05;3.4332275390625e-05;0.002473115921020508;
Gibraltar-Hook of Holland;2428.0;2428.0;0;4.1961669921875e-05;3.314018249511719e-05;0.1470961570739746;
Calais-Barcelona;1522.0;1522.0;0;4.744529724121094e-05;4.1484832763671875e-05;0.13530659675598145;
Munich-Stockholm;2356.0;2356.0;0;2.956390380859375e-05;5.2928924560546875e-05;0.19717693328857422;
Copenhagen-Brussels;966.0;966.0;3854.0;2.6702880859375e-05;2.0742416381835938e-05;0.0020818710327148438;
Marseilles-Gibraltar;1693.0;1693.0;0;2.7179718017578125e-05;5.459785461425781e-05;0.12008142471313477;
Lisbon-Marseilles;1498.0;1498.0;0;1.7881393432617188e-05;1.049041748046875e-05;0.1138148307800293;
Hook of Holland-Brussels;1235.0;1235.0;3636.0;2.5272369384765625e-05;3.123283386230469e-05;0.0019123554229736328;
Rome-Paris;1803.0;1803.0;0;5.078315734863281e-05;4.506111145019531e-05;0.1455085277557373;
Vienna-Lisbon;2330.0;2330.0;0;2.86102294921875e-05;6.890296936035156e-05;0.05898427963256836;
Geneva-Barcelona;803.0;803.0;0;2.47955322265625e-05;1.430511474609375e-05;0.13567423820495605;
Calais-Copenhagen;645.0;645.0;0;2.193450927734375e-05;2.0503997802734375e-05;0.2291567325592041;
Vienna-Munich;428.0;428.0;0;1.1920928955078125e-05;6.198883056640625e-06;0.11482501029968262;
Gibraltar-Calais;2224.0;2224.0;10863.0;3.123283386230469e-05;2.574920654296875e-05;0.006121635437011719;
Rome-Athens;2868.0;2868.0;0;1.9550323486328125e-05;5.698204040527344e-05;0.1562347412109375;
Geneva-Marseilles;478.0;478.0;0;1.6689300537109375e-05;9.059906005859375e-06;0.12091279029846191;
Stockholm-Lisbon;3175.0;3175.0;0;4.220008850097656e-05;5.435943603515625e-05;0.04843592643737793;
Madrid-Brussels;1558.0;1558.0;1558.0;3.790855407714844e-05;2.1696090698242188e-05;0.0007486343383789062;
Lisbon-Cologne;2264.0;2264.0;3735.0;2.86102294921875e-05;3.147125244140625e-05;0.0019073486328125;
Lyons-Vienna;1683.0;1683.0;0;2.7179718017578125e-05;4.5299530029296875e-05;0.0763700008392334;
Barcelona-Rome;1460.0;1460.0;0;2.765655517578125e-05;3.0279159545898438e-05;0.19704389572143555;
Copenhagen-Barcelona;2258.0;2258.0;0;4.9114227294921875e-05;4.601478576660156e-05;0.12438249588012695;
Athens-Brussels;2926.0;2926.0;6666.0;3.123283386230469e-05;2.1457672119140625e-05;0.0023641586303710938;
Milan-Calais;1077.0;1077.0;1077.0;2.2172927856445312e-05;1.9550323486328125e-05;0.0007269382476806641;
Geneva-Cherbourg;853.0;853.0;0;2.8371810913085938e-05;1.6450881958007812e-05;0.13882231712341309;
Hamburg-Lisbon;2337.0;2337.0;0;4.506111145019531e-05;5.125999450683594e-05;0.05457901954650879;
Athens-Lisbon;4081.0;4081.0;0;2.8848648071289062e-05;4.887580871582031e-05;0.056162357330322266;
Hook of Holland-Marseilles;1183.0;1183.0;1183.0;9.036064147949219e-05;3.7670135498046875e-05;0.0006866455078125;
Marseilles-Calais;1059.0;1059.0;8380.0;2.2172927856445312e-05;2.8133392333984375e-05;0.004152774810791016;
