Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Munich-Stockholm;2356.0;2356.0;0;3.4332275390625e-05;6.29425048828125e-05;0.6131134033203125;
Cologne-Gibraltar;2436.0;2436.0;3852.0;5.459785461425781e-05;6.556510925292969e-05;0.0031516551971435547;
Rome-Munich;1637.0;1637.0;3668.0;3.62396240234375e-05;3.0279159545898438e-05;0.003931760787963867;
Marseilles-Gibraltar;1693.0;1693.0;2400.0;3.147125244140625e-05;6.103515625e-05;0.002101421356201172;
Lyons-Geneva;745.0;745.0;6087.0;2.6941299438476562e-05;1.811981201171875e-05;0.0032072067260742188;
Vienna-Hamburg;1155.0;1155.0;1233.0;4.291534423828125e-05;2.1696090698242188e-05;0.001329660415649414;
Madrid-Copenhagen;1999.0;1999.0;0;4.7206878662109375e-05;5.030632019042969e-05;0.4979856014251709;
Vienna-Cherbourg;1588.0;1588.0;1841.0;3.170967102050781e-05;4.363059997558594e-05;0.0014903545379638672;
Cologne-Hook of Holland;269.0;269.0;269.0;1.6450881958007812e-05;8.344650268554688e-06;0.0007998943328857422;
Copenhagen-Marseilles;1452.0;1452.0;1452.0;5.1021575927734375e-05;6.651878356933594e-05;0.0014128684997558594;
Brussels-Calais;2069.0;2069.0;4441.0;5.53131103515625e-05;6.67572021484375e-05;0.003983736038208008;
Madrid-Stockholm;3167.0;3167.0;0;4.3392181396484375e-05;6.532669067382812e-05;0.5136723518371582;
Brussels-Milan;1117.0;1117.0;3364.0;3.910064697265625e-05;3.8623809814453125e-05;0.0019605159759521484;
Vienna-Stockholm;2105.0;2105.0;0;4.5299530029296875e-05;5.817413330078125e-05;0.6194643974304199;
Madrid-Munich;2266.0;2266.0;7646.0;4.363059997558594e-05;5.936622619628906e-05;0.007230520248413086;
Calais-Athens;3359.0;3359.0;4544.0;5.817413330078125e-05;7.05718994140625e-05;0.004078388214111328;
Gibraltar-Madrid;698.0;698.0;5543.0;1.4781951904296875e-05;7.867813110351562e-06;0.0037081241607666016;
