Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Rome-Marseilles;1011.0;1011.0;6114.0;2.4557113647460938e-05;1.4066696166992188e-05;0.004595041275024414;
Gibraltar-Lyons;1817.0;1817.0;2133.0;2.8848648071289062e-05;1.6450881958007812e-05;0.0013027191162109375;
Munich-Brussels;747.0;747.0;0;3.218650817871094e-05;1.71661376953125e-05;0.23048877716064453;
Brussels-Hook of Holland;172.0;172.0;475.0;1.3589859008789062e-05;6.4373016357421875e-06;0.0015833377838134766;
Calais-Barcelona;1522.0;1522.0;2443.0;4.7206878662109375e-05;4.5299530029296875e-05;0.002443552017211914;
Hamburg-Brussels;597.0;597.0;0;1.2636184692382812e-05;6.67572021484375e-06;0.21586132049560547;
Lyons-Barcelona;645.0;645.0;645.0;2.0503997802734375e-05;1.33514404296875e-05;0.0006916522979736328;
Lisbon-Cologne;2264.0;2264.0;0;2.9087066650390625e-05;3.5762786865234375e-05;0.3658938407897949;
Brussels-Hamburg;666.0;666.0;666.0;2.1457672119140625e-05;2.09808349609375e-05;0.0016946792602539062;
Vienna-Madrid;2433.0;2433.0;2483.0;3.337860107421875e-05;6.127357482910156e-05;0.002641916275024414;
Paris-Hamburg;877.0;877.0;925.0;2.0742416381835938e-05;1.811981201171875e-05;0.0017778873443603516;
Marseilles-Calais;1059.0;1059.0;1059.0;1.71661376953125e-05;2.6464462280273438e-05;0.0010902881622314453;
Marseilles-Athens;2865.0;2865.0;0;3.3855438232421875e-05;6.127357482910156e-05;0.33019113540649414;
Vienna-Lisbon;2330.0;2330.0;0;2.7894973754882812e-05;5.650520324707031e-05;0.3670995235443115;
Lyons-Geneva;745.0;745.0;2088.0;2.47955322265625e-05;1.71661376953125e-05;0.0027549266815185547;
Gibraltar-Brussels;2256.0;2256.0;0;4.601478576660156e-05;2.956390380859375e-05;0.21065282821655273;
Geneva-Hook of Holland;1608.0;1608.0;0;4.7206878662109375e-05;5.1975250244140625e-05;0.14411473274230957;
Lyons-Rome;1740.0;1740.0;0;2.6941299438476562e-05;6.29425048828125e-05;0.2233107089996338;
Hook of Holland-Barcelona;2148.0;2148.0;6343.0;5.173683166503906e-05;5.221366882324219e-05;0.0014684200286865234;
Copenhagen-Cherbourg;1000.0;1000.0;1575.0;2.574920654296875e-05;2.4557113647460938e-05;0.0013394355773925781;
Munich-Lisbon;1902.0;1902.0;0;2.5033950805664062e-05;5.269050598144531e-05;0.37351226806640625;
Vienna-Athens;1991.0;1991.0;0;1.7642974853515625e-05;4.9591064453125e-05;0.3571624755859375;
Hamburg-Paris;1226.0;1226.0;0;2.384185791015625e-05;3.647804260253906e-05;0.37912416458129883;
Lyons-Calais;1379.0;1379.0;1379.0;1.8358230590820312e-05;3.5762786865234375e-05;0.002125978469848633;
Hook of Holland-Geneva;1426.0;1426.0;5868.0;4.57763671875e-05;3.719329833984375e-05;0.0030765533447265625;
Barcelona-Vienna;2328.0;2328.0;4578.0;4.172325134277344e-05;5.793571472167969e-05;0.0044078826904296875;
Hamburg-Hook of Holland;769.0;769.0;0;1.8835067749023438e-05;1.0967254638671875e-05;0.15506625175476074;
Cologne-Hamburg;460.0;460.0;460.0;1.9788742065429688e-05;1.1444091796875e-05;0.0009884834289550781;
Gibraltar-Milan;2422.0;2422.0;3893.0;4.9591064453125e-05;3.3855438232421875e-05;0.004225492477416992;
Geneva-Copenhagen;1616.0;1616.0;1616.0;5.412101745605469e-05;5.7697296142578125e-05;0.0012578964233398438;
Gibraltar-Vienna;2994.0;2994.0;3816.0;4.100799560546875e-05;5.984306335449219e-05;0.0025701522827148438;
Athens-Geneva;2838.0;2838.0;2838.0;2.8371810913085938e-05;1.8835067749023438e-05;0.0027785301208496094;
Milan-Rome;1323.0;1323.0;0;1.5497207641601562e-05;4.076957702636719e-05;0.22612500190734863;
Lisbon-Marseilles;1498.0;1498.0;1498.0;1.9788742065429688e-05;1.1682510375976562e-05;0.0016925334930419922;
Hamburg-Rome;2108.0;2108.0;0;4.410743713378906e-05;5.14984130859375e-05;0.2251875400543213;
Brussels-Cherbourg;903.0;903.0;2298.0;2.5272369384765625e-05;2.9802322387695312e-05;0.002712726593017578;
Marseilles-Vienna;1363.0;1363.0;1363.0;2.0503997802734375e-05;4.458427429199219e-05;0.0007054805755615234;
Gibraltar-Cherbourg;2466.0;2466.0;2628.0;4.2438507080078125e-05;4.4345855712890625e-05;0.0018475055694580078;
Gibraltar-Rome;2632.0;2632.0;0;3.552436828613281e-05;6.508827209472656e-05;0.21399259567260742;
Gibraltar-Hamburg;2896.0;2896.0;0;5.555152893066406e-05;5.817413330078125e-05;0.3372995853424072;
Copenhagen-Lisbon;2525.0;2525.0;0;5.030632019042969e-05;6.29425048828125e-05;0.3597242832183838;
Vienna-Stockholm;2105.0;2105.0;2105.0;4.482269287109375e-05;5.602836608886719e-05;0.0011425018310546875;
Munich-Cherbourg;1160.0;1160.0;1512.0;3.218650817871094e-05;3.7670135498046875e-05;0.002680540084838867;
Lyons-Madrid;1281.0;1281.0;0;2.6464462280273438e-05;2.7894973754882812e-05;0.07686948776245117;
Rome-Calais;1663.0;1663.0;2070.0;2.5033950805664062e-05;3.24249267578125e-05;0.0015015602111816406;
Marseilles-Paris;792.0;792.0;0;3.0040740966796875e-05;1.621246337890625e-05;0.33847498893737793;
Brussels-Marseilles;1010.0;1010.0;4823.0;4.744529724121094e-05;3.337860107421875e-05;0.007276058197021484;
Calais-Lisbon;2072.0;2072.0;0;4.8160552978515625e-05;6.437301635742188e-05;0.3548924922943115;
Hook of Holland-Copenhagen;269.0;269.0;0;1.5497207641601562e-05;6.4373016357421875e-06;0.17025160789489746;
Rome-Athens;2868.0;2868.0;0;2.2649765014648438e-05;6.604194641113281e-05;0.3472006320953369;
Hamburg-Copenhagen;1038.0;1038.0;0;2.6464462280273438e-05;2.2649765014648438e-05;0.17598652839660645;
Lyons-Lisbon;1178.0;1178.0;0;1.9073486328125e-05;2.6226043701171875e-05;0.35148000717163086;
Geneva-Brussels;1436.0;1436.0;0;3.5762786865234375e-05;3.886222839355469e-05;0.22024941444396973;
Athens-Calais;3372.0;3372.0;4375.0;3.123283386230469e-05;6.461143493652344e-05;0.004472255706787109;
Calais-Cherbourg;460.0;460.0;460.0;1.7404556274414062e-05;1.8596649169921875e-05;0.0007162094116210938;
Cologne-Barcelona;1498.0;1498.0;2494.0;4.601478576660156e-05;4.887580871582031e-05;0.0026559829711914062;
Marseilles-Cherbourg;1278.0;1278.0;0;3.337860107421875e-05;4.00543212890625e-05;0.5213282108306885;
Geneva-Lyons;158.0;158.0;158.0;1.2874603271484375e-05;5.4836273193359375e-06;0.0008983612060546875;
Milan-Paris;1376.0;1376.0;0;3.62396240234375e-05;4.673004150390625e-05;0.38266873359680176;
Cologne-Stockholm;1403.0;1403.0;0;1.7881393432617188e-05;4.673004150390625e-05;0.2379920482635498;
