Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Lisbon-Hamburg;2337.0;2337.0;0;5.269050598144531e-05;3.62396240234375e-05;0.14877581596374512;
Brussels-Milan;1117.0;1117.0;0;3.314018249511719e-05;3.337860107421875e-05;0.11224150657653809;
Lyons-Paris;1112.0;1112.0;0;3.314018249511719e-05;1.8596649169921875e-05;0.1241757869720459;
Milan-Stockholm;2314.0;2314.0;0;3.075599670410156e-05;5.793571472167969e-05;0.12285256385803223;
Hamburg-Paris;1226.0;1226.0;0;2.3603439331054688e-05;3.504753112792969e-05;0.1579883098602295;
Vienna-Hook of Holland;1205.0;1205.0;0;4.458427429199219e-05;2.5033950805664062e-05;0.10597896575927734;
Athens-Copenhagen;3283.0;3283.0;0;4.267692565917969e-05;3.6716461181640625e-05;0.10035896301269531;
Milan-Barcelona;1131.0;1131.0;6552.0;2.2411346435546875e-05;2.3365020751953125e-05;0.0038347244262695312;
Geneva-Hamburg;1317.0;1317.0;0;5.14984130859375e-05;2.9325485229492188e-05;0.15484213829040527;
Gibraltar-Paris;2205.0;2205.0;0;4.5299530029296875e-05;2.5033950805664062e-05;0.12889862060546875;
Lyons-Brussels;1331.0;1331.0;0;3.838539123535156e-05;2.7418136596679688e-05;0.5355322360992432;
Rome-Cherbourg;1767.0;1767.0;5166.0;2.5272369384765625e-05;3.8623809814453125e-05;0.0043392181396484375;
Hook of Holland-Hamburg;729.0;729.0;0;2.4318695068359375e-05;1.3113021850585938e-05;0.15100359916687012;
Geneva-Cologne;1513.0;1513.0;0;4.100799560546875e-05;4.1484832763671875e-05;0.14564943313598633;
Marseilles-Barcelona;965.0;965.0;6386.0;2.384185791015625e-05;1.7404556274414062e-05;0.002051830291748047;
Milan-Brussels;1281.0;1281.0;7356.0;4.887580871582031e-05;3.504753112792969e-05;0.00362396240234375;
Vienna-Geneva;1087.0;1087.0;1087.0;1.9311904907226562e-05;1.33514404296875e-05;0.003086090087890625;
Gibraltar-Copenhagen;2697.0;2697.0;0;4.7206878662109375e-05;4.863739013671875e-05;0.2342832088470459;
Geneva-Rome;995.0;995.0;995.0;1.3589859008789062e-05;2.0503997802734375e-05;0.0012803077697753906;
Lisbon-Cherbourg;1827.0;1827.0;5724.0;3.647804260253906e-05;2.0503997802734375e-05;0.006614208221435547;
Barcelona-Marseilles;965.0;965.0;0;1.9311904907226562e-05;1.0967254638671875e-05;0.14024972915649414;
Hook of Holland-Lyons;1503.0;1503.0;3736.0;4.57763671875e-05;3.743171691894531e-05;0.001982450485229492;
Munich-Athens;2613.0;2613.0;2613.0;2.2172927856445312e-05;5.91278076171875e-05;0.0013039112091064453;
Copenhagen-Cologne;760.0;760.0;0;2.956390380859375e-05;1.71661376953125e-05;0.14539122581481934;
Calais-Cherbourg;460.0;460.0;1107.0;1.52587890625e-05;1.6450881958007812e-05;0.0019636154174804688;
Madrid-Hook of Holland;1730.0;1730.0;0;4.124641418457031e-05;3.24249267578125e-05;0.1091470718383789;
Hook of Holland-Geneva;1426.0;1426.0;5868.0;4.5299530029296875e-05;3.6716461181640625e-05;0.0034775733947753906;
