Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Munich-Brussels;747.0;747.0;747.0;3.170967102050781e-05;1.6689300537109375e-05;0.0010633468627929688;
Geneva-Brussels;1436.0;1436.0;5625.0;3.0994415283203125e-05;3.528594970703125e-05;0.0038623809814453125;
Paris-Lisbon;1799.0;1799.0;0;5.1975250244140625e-05;3.910064697265625e-05;0.33860325813293457;
Lyons-Copenhagen;1458.0;1458.0;0;4.410743713378906e-05;3.981590270996094e-05;0.11266756057739258;
Rome-Gibraltar;2704.0;2704.0;0;6.508827209472656e-05;7.367134094238281e-05;0.1580970287322998;
Cherbourg-Barcelona;1434.0;1434.0;4223.0;4.267692565917969e-05;4.100799560546875e-05;0.0018832683563232422;
Vienna-Cologne;1381.0;1381.0;4952.0;4.482269287109375e-05;3.4332275390625e-05;0.003131389617919922;
Cherbourg-Hook of Holland;755.0;755.0;755.0;2.1219253540039062e-05;1.3828277587890625e-05;0.001627206802368164;
Copenhagen-Vienna;1615.0;1615.0;1615.0;2.4557113647460938e-05;3.4332275390625e-05;0.001436471939086914;
Geneva-Munich;1447.0;1447.0;0;4.1484832763671875e-05;3.886222839355469e-05;0.1661686897277832;
Brussels-Athens;3202.0;3202.0;3443.0;4.4345855712890625e-05;6.031990051269531e-05;0.0014939308166503906;
Gibraltar-Madrid;698.0;698.0;698.0;1.3113021850585938e-05;6.67572021484375e-06;0.0007791519165039062;
Vienna-Barcelona;1793.0;1793.0;1793.0;2.86102294921875e-05;4.2438507080078125e-05;0.0014858245849609375;
Brussels-Rome;1511.0;1511.0;1855.0;3.8623809814453125e-05;4.2438507080078125e-05;0.0014824867248535156;
Calais-Barcelona;1522.0;1522.0;2208.0;4.696846008300781e-05;4.124641418457031e-05;0.0029115676879882812;
Stockholm-Rome;2602.0;2602.0;2602.0;4.57763671875e-05;4.57763671875e-05;0.0019872188568115234;
Hook of Holland-Vienna;1884.0;1884.0;5198.0;2.5272369384765625e-05;4.100799560546875e-05;0.004390239715576172;
Geneva-Paris;1193.0;1193.0;0;3.123283386230469e-05;2.6226043701171875e-05;0.5365374088287354;
Madrid-Marseilles;1157.0;1157.0;1157.0;2.7179718017578125e-05;1.3828277587890625e-05;0.0008680820465087891;
Stockholm-Marseilles;2102.0;2102.0;2703.0;7.462501525878906e-05;4.410743713378906e-05;0.00243377685546875;
Lyons-Munich;1429.0;1429.0;0;3.7670135498046875e-05;3.6716461181640625e-05;0.16005444526672363;
Stockholm-Madrid;2997.0;2997.0;2997.0;4.982948303222656e-05;5.364418029785156e-05;0.003864765167236328;
Lisbon-Brussels;2256.0;2256.0;2509.0;4.00543212890625e-05;2.9802322387695312e-05;0.002419710159301758;
Hamburg-Cologne;803.0;803.0;803.0;1.621246337890625e-05;1.2636184692382812e-05;0.0015103816986083984;
Calais-Paris;800.0;800.0;0;2.002716064453125e-05;2.2172927856445312e-05;0.528200626373291;
Calais-Madrid;1807.0;1807.0;3605.0;3.409385681152344e-05;4.839897155761719e-05;0.0032014846801757812;
