Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Copenhagen-Milan;1367.0;1367.0;1367.0;3.790855407714844e-05;3.266334533691406e-05;0.002170085906982422;
Gibraltar-Munich;2565.0;2565.0;0;3.9577484130859375e-05;4.839897155761719e-05;0.15650439262390137;
Cherbourg-Hook of Holland;755.0;755.0;4722.0;2.193450927734375e-05;1.430511474609375e-05;0.0037903785705566406;
Lisbon-Barcelona;1823.0;1823.0;1823.0;2.574920654296875e-05;1.9311904907226562e-05;0.0014629364013671875;
Brussels-Paris;629.0;629.0;0;2.6702880859375e-05;1.9550323486328125e-05;0.20573210716247559;
Rome-Gibraltar;2704.0;2704.0;0;3.170967102050781e-05;6.079673767089844e-05;0.1458597183227539;
Copenhagen-Hamburg;460.0;460.0;8416.0;2.5033950805664062e-05;1.1920928955078125e-05;0.00514674186706543;
Lisbon-Gibraltar;2995.0;2995.0;0;3.24249267578125e-05;6.008148193359375e-05;0.1544489860534668;
Athens-Hook of Holland;3030.0;3030.0;8872.0;4.5299530029296875e-05;3.147125244140625e-05;0.0051229000091552734;
Lyons-Paris;1112.0;1112.0;1112.0;3.719329833984375e-05;2.002716064453125e-05;0.0013332366943359375;
Hamburg-Paris;1226.0;1226.0;0;2.5510787963867188e-05;3.933906555175781e-05;0.19891571998596191;
Munich-Lisbon;1902.0;1902.0;1902.0;2.7179718017578125e-05;5.2928924560546875e-05;0.0027246475219726562;
Hook of Holland-Calais;2175.0;2175.0;129910.0;5.555152893066406e-05;5.650520324707031e-05;0.3671419620513916;
Vienna-Geneva;1087.0;1087.0;2631.0;2.193450927734375e-05;1.6450881958007812e-05;0.002226114273071289;
Lyons-Hamburg;1159.0;1159.0;1159.0;4.2438507080078125e-05;2.288818359375e-05;0.0008592605590820312;
Stockholm-Madrid;2997.0;2997.0;2997.0;5.53131103515625e-05;5.9604644775390625e-05;0.0032455921173095703;
Geneva-Lyons;158.0;158.0;39914.0;1.3828277587890625e-05;5.245208740234375e-06;0.05252265930175781;
Gibraltar-Rome;2632.0;2632.0;2632.0;3.600120544433594e-05;5.221366882324219e-05;0.0014560222625732422;
Stockholm-Marseilles;2102.0;2102.0;2102.0;5.5789947509765625e-05;4.100799560546875e-05;0.002033710479736328;
Athens-Stockholm;4096.0;4096.0;5104.0;4.458427429199219e-05;5.7697296142578125e-05;0.0031156539916992188;
Hamburg-Lyons;1159.0;1159.0;1159.0;4.38690185546875e-05;3.3855438232421875e-05;0.0006875991821289062;
Rome-Brussels;1867.0;1867.0;4219.0;4.601478576660156e-05;4.744529724121094e-05;0.003178834915161133;
Hook of Holland-Stockholm;2284.0;2284.0;5663.0;3.6716461181640625e-05;5.888938903808594e-05;0.003255605697631836;
Hamburg-Rome;2108.0;2108.0;97988.0;4.172325134277344e-05;4.863739013671875e-05;0.12941646575927734;
Brussels-Calais;2069.0;2069.0;33780.0;4.982948303222656e-05;6.151199340820312e-05;0.08280110359191895;
Stockholm-Rome;2602.0;2602.0;66419.0;5.507469177246094e-05;5.125999450683594e-05;0.08285880088806152;
Geneva-Lisbon;1336.0;1336.0;1336.0;1.621246337890625e-05;3.4332275390625e-05;0.0015196800231933594;
Rome-Hook of Holland;1766.0;1766.0;6204.0;4.9591064453125e-05;3.933906555175781e-05;0.0026907920837402344;
Lyons-Calais;1379.0;1379.0;0;1.9788742065429688e-05;3.5762786865234375e-05;0.6221840381622314;
Barcelona-Athens;3398.0;3398.0;3398.0;3.9577484130859375e-05;6.508827209472656e-05;0.001508951187133789;
Hook of Holland-Paris;457.0;457.0;0;2.2411346435546875e-05;1.1205673217773438e-05;0.46117329597473145;
Calais-Madrid;1807.0;1807.0;2844.0;3.8623809814453125e-05;5.459785461425781e-05;0.011794567108154297;
Copenhagen-Brussels;966.0;966.0;1057.0;3.0040740966796875e-05;2.2411346435546875e-05;0.005655765533447266;
Marseilles-Copenhagen;1452.0;1452.0;2918.0;4.1961669921875e-05;4.887580871582031e-05;0.011350631713867188;
Marseilles-Cherbourg;1278.0;1278.0;1278.0;3.123283386230469e-05;3.790855407714844e-05;0.00482487678527832;
Hamburg-Milan;1136.0;1136.0;1914.0;3.409385681152344e-05;2.8371810913085938e-05;0.009712696075439453;
Hamburg-Gibraltar;2897.0;2897.0;3342.0;4.839897155761719e-05;6.151199340820312e-05;0.00691533088684082;
Milan-Cherbourg;1181.0;1181.0;1181.0;3.314018249511719e-05;3.0994415283203125e-05;0.006010293960571289;
Athens-Cherbourg;3339.0;3339.0;5556.0;3.3855438232421875e-05;4.601478576660156e-05;0.014652729034423828;
Milan-Munich;1727.0;1727.0;0;4.0531158447265625e-05;5.53131103515625e-05;0.2052011489868164;
Barcelona-Geneva;1390.0;1390.0;13207.0;2.7894973754882812e-05;3.170967102050781e-05;0.014529228210449219;
Munich-Hook of Holland;919.0;919.0;3844.0;3.5762786865234375e-05;2.4557113647460938e-05;0.0041773319244384766;
Gibraltar-Brussels;2256.0;2256.0;3754.0;4.982948303222656e-05;3.0279159545898438e-05;0.002777576446533203;
Munich-Paris;1376.0;1376.0;0;4.00543212890625e-05;5.507469177246094e-05;0.23296308517456055;
Vienna-Madrid;2433.0;2433.0;2433.0;3.838539123535156e-05;5.9604644775390625e-05;0.0023021697998046875;
Vienna-Cologne;1381.0;1381.0;2127.0;4.6253204345703125e-05;3.647804260253906e-05;0.0020492076873779297;
Madrid-Stockholm;3167.0;3167.0;3585.0;4.100799560546875e-05;6.246566772460938e-05;0.0027685165405273438;
Athens-Gibraltar;4485.0;4485.0;4716.0;4.1484832763671875e-05;6.341934204101562e-05;0.0019888877868652344;
Athens-Paris;3000.0;3000.0;0;4.76837158203125e-05;2.8848648071289062e-05;0.2011268138885498;
Barcelona-Madrid;1870.0;1870.0;1926.0;2.765655517578125e-05;5.078315734863281e-05;0.0015494823455810547;
Milan-Athens;2282.0;2282.0;2282.0;2.3603439331054688e-05;5.9604644775390625e-05;0.0012412071228027344;
Marseilles-Vienna;1363.0;1363.0;6610.0;2.0265579223632812e-05;4.124641418457031e-05;0.0036787986755371094;
Marseilles-Cologne;1035.0;1035.0;2067.0;2.9802322387695312e-05;2.3603439331054688e-05;0.0025081634521484375;
Cherbourg-Cologne;785.0;785.0;789.0;2.002716064453125e-05;1.6689300537109375e-05;0.0014183521270751953;
Stockholm-Gibraltar;3695.0;3695.0;3846.0;5.459785461425781e-05;6.389617919921875e-05;0.001871347427368164;
Milan-Geneva;328.0;328.0;328.0;1.2874603271484375e-05;7.152557373046875e-06;0.0006923675537109375;
Stockholm-Hamburg;1110.0;1110.0;6394.0;2.765655517578125e-05;1.621246337890625e-05;0.004737138748168945;
Milan-Stockholm;2314.0;2314.0;2594.0;3.2901763916015625e-05;6.437301635742188e-05;0.0020110607147216797;
Marseilles-Hamburg;1479.0;1479.0;1479.0;4.076957702636719e-05;5.3882598876953125e-05;0.0014111995697021484;
Brussels-Stockholm;1609.0;1609.0;2798.0;2.3365020751953125e-05;5.173683166503906e-05;0.0018842220306396484;
