Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Munich-Hook of Holland;919.0;919.0;0;3.266334533691406e-05;2.2172927856445312e-05;0.14377689361572266;
Cologne-Athens;3193.0;3193.0;0;4.076957702636719e-05;6.079673767089844e-05;0.058039188385009766;
Paris-Hook of Holland;457.0;457.0;0;1.4066696166992188e-05;5.4836273193359375e-06;0.1486825942993164;
Marseilles-Hamburg;1479.0;1479.0;5442.0;3.504753112792969e-05;4.887580871582031e-05;0.0034499168395996094;
Milan-Barcelona;1131.0;1131.0;0;2.2411346435546875e-05;2.3365020751953125e-05;0.1531062126159668;
Copenhagen-Cologne;760.0;760.0;0;2.8133392333984375e-05;1.6689300537109375e-05;0.06695413589477539;
Brussels-Cherbourg;903.0;903.0;0;2.193450927734375e-05;2.574920654296875e-05;0.1410694122314453;
Vienna-Milan;759.0;759.0;0;1.6450881958007812e-05;1.0251998901367188e-05;0.23198604583740234;
Lisbon-Madrid;2459.0;2459.0;6474.0;2.288818359375e-05;3.886222839355469e-05;0.002320528030395508;
Madrid-Rome;2096.0;2096.0;0;2.9087066650390625e-05;4.744529724121094e-05;0.04933476448059082;
Athens-Hook of Holland;3030.0;3030.0;0;4.100799560546875e-05;2.9087066650390625e-05;0.15254592895507812;
Lyons-Stockholm;2108.0;2108.0;2108.0;3.4809112548828125e-05;5.793571472167969e-05;0.0009295940399169922;
Cologne-Cherbourg;1000.0;1000.0;2548.0;2.2411346435546875e-05;2.3603439331054688e-05;0.0032815933227539062;
Rome-Cherbourg;1767.0;1767.0;0;2.5033950805664062e-05;3.933906555175781e-05;0.1517043113708496;
Madrid-Lisbon;1941.0;1941.0;0;2.3365020751953125e-05;4.029273986816406e-05;0.1353158950805664;
Cherbourg-Rome;2094.0;2094.0;0;3.7670135498046875e-05;5.1021575927734375e-05;0.050188541412353516;
Brussels-Geneva;1435.0;1435.0;0;4.3392181396484375e-05;4.00543212890625e-05;0.05768990516662598;
Barcelona-Hamburg;1804.0;1804.0;3642.0;4.982948303222656e-05;4.458427429199219e-05;0.0019106864929199219;
Hook of Holland-Lyons;1503.0;1503.0;1584.0;4.673004150390625e-05;3.719329833984375e-05;0.001959085464477539;
Vienna-Rome;2082.0;2082.0;0;2.09808349609375e-05;4.76837158203125e-05;0.04372429847717285;
Copenhagen-Marseilles;1452.0;1452.0;0;4.792213439941406e-05;3.266334533691406e-05;0.1255931854248047;
Rome-Paris;1803.0;1803.0;0;4.410743713378906e-05;4.1484832763671875e-05;0.08969879150390625;
Lyons-Milan;1760.0;1760.0;0;5.2928924560546875e-05;5.1975250244140625e-05;0.22269034385681152;
Milan-Cherbourg;1181.0;1181.0;1181.0;3.147125244140625e-05;2.9087066650390625e-05;0.0021767616271972656;
Brussels-Calais;2069.0;2069.0;0;4.649162292480469e-05;5.793571472167969e-05;0.14464783668518066;
Vienna-Cologne;1381.0;1381.0;0;4.267692565917969e-05;3.337860107421875e-05;0.0490720272064209;
