Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Madrid-Rome;2096.0;2096.0;0;3.695487976074219e-05;5.793571472167969e-05;0.19904136657714844;
Barcelona-Geneva;1390.0;1390.0;0;3.147125244140625e-05;3.62396240234375e-05;0.19374322891235352;
Milan-Brussels;1281.0;1281.0;7125.0;6.580352783203125e-05;4.696846008300781e-05;0.005152702331542969;
Lyons-Lisbon;1178.0;1178.0;0;2.2649765014648438e-05;0.00024127960205078125;0.16706275939941406;
Milan-Hook of Holland;1180.0;1180.0;0;5.435943603515625e-05;3.9577484130859375e-05;0.1411595344543457;
Lyons-Rome;1740.0;1740.0;0;3.409385681152344e-05;6.198883056640625e-05;0.14391565322875977;
Lyons-Vienna;1683.0;1683.0;0;3.552436828613281e-05;5.7697296142578125e-05;0.15006113052368164;
Munich-Gibraltar;2537.0;2537.0;0;4.649162292480469e-05;6.961822509765625e-05;0.14670205116271973;
Cologne-Calais;1988.0;1988.0;2824.0;5.2928924560546875e-05;9.679794311523438e-05;0.001436471939086914;
Hook of Holland-Vienna;1884.0;1884.0;0;3.7670135498046875e-05;5.221366882324219e-05;0.1429123878479004;
Cherbourg-Milan;1209.0;1209.0;0;4.076957702636719e-05;3.9577484130859375e-05;0.14801836013793945;
Barcelona-Vienna;2328.0;2328.0;0;5.054473876953125e-05;6.67572021484375e-05;0.14347195625305176;
Copenhagen-Marseilles;1452.0;1452.0;0;5.793571472167969e-05;3.886222839355469e-05;0.14307951927185059;
Rome-Paris;1803.0;1803.0;0;7.963180541992188e-05;5.054473876953125e-05;0.1468801498413086;
Brussels-Cologne;206.0;206.0;0;2.0503997802734375e-05;1.1920928955078125e-05;0.14580225944519043;
Stockholm-Barcelona;2908.0;2908.0;7240.0;5.888938903808594e-05;6.031990051269531e-05;0.0012140274047851562;
Vienna-Hook of Holland;1205.0;1205.0;0;5.1975250244140625e-05;2.9325485229492188e-05;0.14985918998718262;
Rome-Marseilles;1011.0;1011.0;0;2.8133392333984375e-05;1.5497207641601562e-05;0.14209413528442383;
Copenhagen-Cherbourg;1000.0;1000.0;0;2.86102294921875e-05;2.6226043701171875e-05;0.14244437217712402;
Cologne-Brussels;1057.0;1057.0;3028.0;3.123283386230469e-05;3.4809112548828125e-05;0.002010822296142578;
Lyons-Cherbourg;1598.0;1598.0;0;3.528594970703125e-05;5.1021575927734375e-05;0.14422035217285156;
Athens-Stockholm;4096.0;4096.0;0;4.506111145019531e-05;6.0558319091796875e-05;0.14014387130737305;
Cologne-Gibraltar;2436.0;2436.0;0;5.3882598876953125e-05;6.270408630371094e-05;0.14535236358642578;
Barcelona-Cologne;1498.0;1498.0;0;4.649162292480469e-05;4.1961669921875e-05;0.15517067909240723;
Athens-Vienna;1991.0;1991.0;0;1.33514404296875e-05;5.9604644775390625e-06;0.14890646934509277;
Marseilles-Milan;1440.0;1440.0;0;4.3392181396484375e-05;4.935264587402344e-05;0.1492457389831543;
Barcelona-Rome;1460.0;1460.0;0;3.0517578125e-05;3.361701965332031e-05;0.14234185218811035;
Stockholm-Munich;1754.0;1754.0;0;3.0279159545898438e-05;3.266334533691406e-05;0.15749144554138184;
Athens-Hook of Holland;3030.0;3030.0;0;4.482269287109375e-05;3.123283386230469e-05;0.14854812622070312;
Cologne-Vienna;1615.0;1615.0;0;2.193450927734375e-05;4.863739013671875e-05;0.1449718475341797;
Cherbourg-Gibraltar;2045.0;2045.0;0;4.1484832763671875e-05;5.340576171875e-05;0.14921069145202637;
Munich-Hook of Holland;919.0;919.0;0;3.5762786865234375e-05;2.4557113647460938e-05;0.1533665657043457;
Lyons-Paris;1112.0;1112.0;0;3.6716461181640625e-05;2.09808349609375e-05;0.1479506492614746;
Rome-Milan;586.0;586.0;0;1.4066696166992188e-05;7.3909759521484375e-06;0.1497337818145752;
Milan-Paris;1376.0;1376.0;0;3.647804260253906e-05;4.601478576660156e-05;0.14435386657714844;
Gibraltar-Copenhagen;2697.0;2697.0;0;5.125999450683594e-05;5.435943603515625e-05;0.14900946617126465;
Gibraltar-Rome;2632.0;2632.0;0;3.504753112792969e-05;4.863739013671875e-05;0.14792132377624512;
Gibraltar-Marseilles;1855.0;1855.0;0;3.0517578125e-05;1.8835067749023438e-05;0.14995217323303223;
Paris-Lisbon;1799.0;1799.0;0;0.00026035308837890625;0.0001933574676513672;0.1593313217163086;
Marseilles-Cologne;1035.0;1035.0;1257.0;0.00011205673217773438;4.6253204345703125e-05;0.00141143798828125;
Geneva-Lisbon;1336.0;1336.0;0;2.956390380859375e-05;6.437301635742188e-05;0.14783310890197754;
Geneva-Cologne;1513.0;1513.0;0;8.153915405273438e-05;8.320808410644531e-05;0.15411829948425293;
Munich-Lisbon;1902.0;1902.0;0;7.081031799316406e-05;6.437301635742188e-05;0.15244102478027344;
Madrid-Cherbourg;1930.0;1930.0;0;4.57763671875e-05;4.172325134277344e-05;0.15204262733459473;
Lisbon-Cherbourg;1827.0;1827.0;0;4.076957702636719e-05;2.2411346435546875e-05;0.1496875286102295;
Calais-Stockholm;1813.0;1813.0;0;2.765655517578125e-05;5.3882598876953125e-05;0.1590898036956787;
Lyons-Milan;1760.0;1760.0;0;5.412101745605469e-05;5.340576171875e-05;0.1552882194519043;
Hamburg-Vienna;1155.0;1155.0;0;2.2172927856445312e-05;3.0517578125e-05;0.16285324096679688;
Brussels-Madrid;1971.0;1971.0;0;4.553794860839844e-05;5.4836273193359375e-05;0.1847057342529297;
Marseilles-Athens;2865.0;2865.0;0;3.600120544433594e-05;5.698204040527344e-05;0.1767427921295166;
Brussels-Munich;1471.0;1471.0;0;3.075599670410156e-05;4.100799560546875e-05;0.15079545974731445;
Calais-Copenhagen;645.0;645.0;0;2.2172927856445312e-05;1.9550323486328125e-05;0.1517810821533203;
Madrid-Lisbon;1941.0;1941.0;0;2.3365020751953125e-05;3.910064697265625e-05;0.1489090919494629;
Rome-Lyons;1048.0;1048.0;0;1.8835067749023438e-05;1.5974044799804688e-05;0.14597487449645996;
Paris-Hamburg;877.0;877.0;0;1.9311904907226562e-05;1.5735626220703125e-05;0.1429121494293213;
Rome-Cologne;1497.0;1497.0;1497.0;4.57763671875e-05;2.2649765014648438e-05;0.0009145736694335938;
Copenhagen-Rome;1952.0;1952.0;0;4.029273986816406e-05;4.1484832763671875e-05;0.1510763168334961;
Geneva-Munich;1447.0;1447.0;0;3.5762786865234375e-05;3.790855407714844e-05;0.15990042686462402;
Copenhagen-Hamburg;460.0;460.0;0;2.2411346435546875e-05;1.0728836059570312e-05;0.16342592239379883;
Barcelona-Gibraltar;1172.0;1172.0;0;2.4557113647460938e-05;1.71661376953125e-05;0.1668105125427246;
