Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Geneva-Copenhagen;1616.0;1616.0;0;5.1975250244140625e-05;5.745887756347656e-05;0.4946255683898926;
Brussels-Lisbon;1868.0;1868.0;0;4.315376281738281e-05;5.6743621826171875e-05;0.5463407039642334;
Paris-Cherbourg;1188.0;1188.0;0;2.2411346435546875e-05;2.288818359375e-05;0.5561223030090332;
Paris-Lyons;1820.0;1820.0;3770.0;4.935264587402344e-05;4.38690185546875e-05;0.004323720932006836;
Vienna-Lisbon;2330.0;2330.0;0;2.86102294921875e-05;5.8650970458984375e-05;0.5327987670898438;
Lisbon-Lyons;1178.0;1178.0;1178.0;1.3589859008789062e-05;6.4373016357421875e-06;0.0009472370147705078;
Marseilles-Lyons;320.0;320.0;320.0;1.4781951904296875e-05;8.106231689453125e-06;0.0006978511810302734;
Athens-Lisbon;4081.0;4081.0;0;2.9802322387695312e-05;6.0558319091796875e-05;0.5720911026000977;
Cherbourg-Rome;2094.0;2094.0;0;4.506111145019531e-05;6.246566772460938e-05;0.5611162185668945;
Munich-Rome;1654.0;1654.0;0;2.09808349609375e-05;5.435943603515625e-05;0.5589118003845215;
Marseilles-Cherbourg;1278.0;1278.0;0;3.3855438232421875e-05;4.410743713378906e-05;0.5226559638977051;
Paris-Geneva;1704.0;1704.0;0;5.221366882324219e-05;4.458427429199219e-05;0.6725254058837891;
Copenhagen-Cologne;760.0;760.0;0;3.3855438232421875e-05;2.0742416381835938e-05;0.6440813541412354;
Calais-Athens;3359.0;3359.0;0;5.817413330078125e-05;7.891654968261719e-05;0.6350517272949219;
Barcelona-Hamburg;1804.0;1804.0;1958.0;6.985664367675781e-05;5.364418029785156e-05;0.0024116039276123047;
Barcelona-Gibraltar;1172.0;1172.0;1172.0;2.9325485229492188e-05;2.09808349609375e-05;0.0009517669677734375;
Lisbon-Cherbourg;1827.0;1827.0;0;4.124641418457031e-05;2.5272369384765625e-05;0.5119149684906006;
Madrid-Hamburg;2198.0;2198.0;2594.0;4.57763671875e-05;6.198883056640625e-05;0.002560138702392578;
Munich-Hook of Holland;919.0;919.0;0;3.719329833984375e-05;2.6226043701171875e-05;0.511162519454956;
Hook of Holland-Stockholm;2284.0;2284.0;0;4.315376281738281e-05;9.632110595703125e-05;0.577023983001709;
Gibraltar-Lyons;1817.0;1817.0;5975.0;4.7206878662109375e-05;2.6702880859375e-05;0.006069183349609375;
Calais-Cherbourg;460.0;460.0;0;2.4080276489257812e-05;2.6941299438476562e-05;0.633185863494873;
Cologne-Milan;911.0;911.0;0;5.245208740234375e-05;3.361701965332031e-05;0.6183750629425049;
Geneva-Athens;2911.0;2911.0;0;5.7220458984375e-05;0.0001010894775390625;0.5140347480773926;
Lyons-Cologne;1355.0;1355.0;0;5.435943603515625e-05;5.2928924560546875e-05;0.49450087547302246;
Marseilles-Geneva;425.0;425.0;425.0;3.24249267578125e-05;2.09808349609375e-05;0.0007336139678955078;
Calais-Brussels;204.0;204.0;204.0;1.5974044799804688e-05;9.059906005859375e-06;0.0006644725799560547;
Geneva-Rome;995.0;995.0;0;1.9788742065429688e-05;3.457069396972656e-05;0.5105655193328857;
Lisbon-Vienna;2861.0;2861.0;0;6.413459777832031e-05;8.082389831542969e-05;0.5059847831726074;
Lyons-Stockholm;2108.0;2108.0;0;5.745887756347656e-05;9.560585021972656e-05;0.5140378475189209;
Barcelona-Geneva;1390.0;1390.0;0;3.9577484130859375e-05;4.410743713378906e-05;0.6029462814331055;
Vienna-Cherbourg;1588.0;1588.0;0;3.886222839355469e-05;5.4836273193359375e-05;0.5177900791168213;
Paris-Rome;2140.0;2140.0;0;6.461143493652344e-05;7.319450378417969e-05;0.6062889099121094;
Vienna-Athens;1991.0;1991.0;3041.0;2.4080276489257812e-05;6.318092346191406e-05;0.0022373199462890625;
Cherbourg-Brussels;583.0;583.0;0;3.910064697265625e-05;1.3828277587890625e-05;0.5293338298797607;
Lyons-Gibraltar;1817.0;1817.0;0;3.647804260253906e-05;7.295608520507812e-05;0.540107011795044;
Gibraltar-Stockholm;3839.0;3839.0;0;5.2928924560546875e-05;7.581710815429688e-05;0.5345661640167236;
Cologne-Barcelona;1498.0;1498.0;0;5.2928924560546875e-05;5.841255187988281e-05;0.5230319499969482;
Stockholm-Hamburg;1110.0;1110.0;1110.0;3.4332275390625e-05;1.9788742065429688e-05;0.0012607574462890625;
Cologne-Hamburg;460.0;460.0;460.0;2.4080276489257812e-05;1.4066696166992188e-05;0.0007226467132568359;
Hamburg-Marseilles;1479.0;1479.0;0;4.506111145019531e-05;5.221366882324219e-05;0.10337471961975098;
Lisbon-Hamburg;2337.0;2337.0;0;6.151199340820312e-05;5.0067901611328125e-05;0.510922908782959;
Calais-Milan;1077.0;1077.0;0;4.4345855712890625e-05;8.344650268554688e-05;0.6441946029663086;
Brussels-Cologne;206.0;206.0;206.0;2.5510787963867188e-05;1.3828277587890625e-05;0.0007355213165283203;
Rome-Gibraltar;2704.0;2704.0;0;3.8623809814453125e-05;7.772445678710938e-05;0.5287935733795166;
Rome-Madrid;2097.0;2097.0;0;3.790855407714844e-05;6.818771362304688e-05;0.49852585792541504;
Rome-Vienna;1209.0;1209.0;0;2.2172927856445312e-05;2.5033950805664062e-05;0.5460071563720703;
Brussels-Cherbourg;903.0;903.0;0;2.9802322387695312e-05;3.6716461181640625e-05;0.5998985767364502;
Copenhagen-Gibraltar;3045.0;3045.0;0;5.9604644775390625e-05;8.177757263183594e-05;0.6096234321594238;
Munich-Hamburg;805.0;805.0;0;4.3392181396484375e-05;2.6941299438476562e-05;0.5127451419830322;
Calais-Rome;1662.0;1662.0;0;5.0067901611328125e-05;6.151199340820312e-05;0.607729434967041;
Athens-Brussels;2926.0;2926.0;0;4.363059997558594e-05;2.956390380859375e-05;0.4905853271484375;
Lyons-Lisbon;1178.0;1178.0;0;2.2411346435546875e-05;3.075599670410156e-05;0.5391104221343994;
Milan-Cologne;911.0;911.0;0;4.220008850097656e-05;2.1696090698242188e-05;0.515862226486206;
Lisbon-Brussels;2256.0;2256.0;0;4.792213439941406e-05;4.00543212890625e-05;0.49312376976013184;
Hook of Holland-Brussels;1235.0;1235.0;0;3.457069396972656e-05;4.1484832763671875e-05;0.5929110050201416;
Paris-Madrid;2535.0;2535.0;0;5.412101745605469e-05;7.486343383789062e-05;0.5030210018157959;
Hamburg-Brussels;597.0;597.0;0;1.5735626220703125e-05;8.344650268554688e-06;0.5056531429290771;
Copenhagen-Munich;1104.0;1104.0;0;2.8848648071289062e-05;3.504753112792969e-05;0.6007988452911377;
Vienna-Geneva;1087.0;1087.0;1087.0;2.384185791015625e-05;4.172325134277344e-05;0.0019969940185546875;
