Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Madrid;1724.0;1724.0;1963.0;2.6464462280273438e-05;5.221366882324219e-05;0.00528717041015625;
Barcelona-Milan;2046.0;2046.0;0;4.8160552978515625e-05;5.125999450683594e-05;0.09492206573486328;
Munich-Milan;331.0;331.0;331.0;1.2874603271484375e-05;7.152557373046875e-06;0.001096963882446289;
Lisbon-Hook of Holland;2256.0;2256.0;9547.0;4.100799560546875e-05;2.7894973754882812e-05;0.006610393524169922;
Vienna-Madrid;2433.0;2433.0;2722.0;3.1948089599609375e-05;5.412101745605469e-05;0.005583047866821289;
Milan-Rome;1323.0;1323.0;0;1.3589859008789062e-05;3.552436828613281e-05;0.2836453914642334;
Lyons-Copenhagen;1458.0;1458.0;2758.0;4.458427429199219e-05;4.076957702636719e-05;0.0029981136322021484;
Lisbon-Brussels;2256.0;2256.0;4732.0;3.7670135498046875e-05;3.075599670410156e-05;0.0025496482849121094;
Madrid-Athens;4006.0;4006.0;7137.0;3.743171691894531e-05;6.198883056640625e-05;0.003343820571899414;
Milan-Paris;1376.0;1376.0;2393.0;3.361701965332031e-05;8.082389831542969e-05;0.004400491714477539;
Marseilles-Calais;1059.0;1059.0;4423.0;1.9073486328125e-05;2.5510787963867188e-05;0.004307746887207031;
Gibraltar-Lisbon;2477.0;2477.0;6598.0;2.3126602172851562e-05;4.4345855712890625e-05;0.005150794982910156;
Munich-Geneva;659.0;659.0;659.0;1.6450881958007812e-05;1.0728836059570312e-05;0.001735687255859375;
Cherbourg-Lyons;789.0;789.0;4610.0;3.6716461181640625e-05;2.0742416381835938e-05;0.0049440860748291016;
Lisbon-Barcelona;1823.0;1823.0;0;2.3603439331054688e-05;1.7404556274414062e-05;0.4667057991027832;
Hamburg-Barcelona;1804.0;1804.0;0;4.887580871582031e-05;4.410743713378906e-05;0.46581554412841797;
Brussels-Gibraltar;2490.0;2490.0;2948.0;4.363059997558594e-05;5.91278076171875e-05;0.003405332565307617;
Gibraltar-Hook of Holland;2428.0;2428.0;2874.0;4.172325134277344e-05;3.1948089599609375e-05;0.0034525394439697266;
Madrid-Barcelona;636.0;636.0;0;1.239776611328125e-05;6.67572021484375e-06;0.45769667625427246;
Hamburg-Stockholm;2206.0;2206.0;0;2.2172927856445312e-05;6.866455078125e-05;0.10337138175964355;
Athens-Lisbon;4081.0;4081.0;6212.0;3.147125244140625e-05;5.14984130859375e-05;0.005365848541259766;
Lyons-Geneva;745.0;745.0;745.0;2.384185791015625e-05;1.5974044799804688e-05;0.0017507076263427734;
Madrid-Marseilles;1157.0;1157.0;5616.0;2.8133392333984375e-05;1.4781951904296875e-05;0.0019526481628417969;
Brussels-Madrid;1971.0;1971.0;2250.0;4.38690185546875e-05;5.1975250244140625e-05;0.0025482177734375;
Madrid-Paris;1669.0;1669.0;2795.0;3.814697265625e-05;2.574920654296875e-05;0.004323244094848633;
Cherbourg-Cologne;785.0;785.0;0;1.9788742065429688e-05;1.5974044799804688e-05;0.6385645866394043;
Rome-Madrid;2097.0;2097.0;2549.0;2.765655517578125e-05;4.7206878662109375e-05;0.004694461822509766;
Stockholm-Barcelona;2908.0;2908.0;0;4.9591064453125e-05;5.14984130859375e-05;0.44362521171569824;
Brussels-Stockholm;1609.0;1609.0;1609.0;2.3126602172851562e-05;4.839897155761719e-05;0.0016896724700927734;
Hamburg-Calais;2213.0;2213.0;2944.0;5.125999450683594e-05;5.14984130859375e-05;0.003518819808959961;
Vienna-Rome;2082.0;2082.0;0;2.09808349609375e-05;4.673004150390625e-05;0.3192901611328125;
Hook of Holland-Cherbourg;731.0;731.0;731.0;2.1219253540039062e-05;1.5735626220703125e-05;0.0010652542114257812;
Cherbourg-Brussels;583.0;583.0;2905.0;1.811981201171875e-05;9.298324584960938e-06;0.0017955303192138672;
Madrid-Cherbourg;1930.0;1930.0;0;3.6716461181640625e-05;3.5762786865234375e-05;0.3743743896484375;
Vienna-Cologne;1381.0;1381.0;1381.0;4.0531158447265625e-05;3.0994415283203125e-05;0.002827882766723633;
Hamburg-Gibraltar;2897.0;2897.0;3545.0;8.916854858398438e-05;5.9604644775390625e-05;0.004045009613037109;
Vienna-Brussels;1175.0;1175.0;1752.0;3.4332275390625e-05;2.1696090698242188e-05;0.0017549991607666016;
Barcelona-Madrid;1870.0;1870.0;5865.0;2.574920654296875e-05;4.6253204345703125e-05;0.00404047966003418;
Madrid-Vienna;2520.0;2520.0;0;4.2438507080078125e-05;5.6743621826171875e-05;0.24468135833740234;
Rome-Vienna;1209.0;1209.0;0;1.71661376953125e-05;1.9073486328125e-05;0.24401521682739258;
Paris-Rome;2140.0;2140.0;0;5.841255187988281e-05;5.245208740234375e-05;0.2726130485534668;
Cherbourg-Barcelona;1434.0;1434.0;0;3.743171691894531e-05;3.695487976074219e-05;0.49494028091430664;
Brussels-Barcelona;1318.0;1318.0;0;4.267692565917969e-05;3.528594970703125e-05;0.5003666877746582;
Milan-Hook of Holland;1180.0;1180.0;1936.0;3.266334533691406e-05;2.5033950805664062e-05;0.003569364547729492;
Madrid-Lyons;1281.0;1281.0;5589.0;2.5987625122070312e-05;1.9311904907226562e-05;0.0058214664459228516;
Munich-Lisbon;1902.0;1902.0;4033.0;2.3365020751953125e-05;5.340576171875e-05;0.004992008209228516;
Cologne-Lisbon;2264.0;2264.0;6501.0;3.62396240234375e-05;5.221366882324219e-05;0.0066411495208740234;
Paris-Lyons;1820.0;1820.0;1960.0;4.9114227294921875e-05;4.0531158447265625e-05;0.0023775100708007812;
Madrid-Geneva;1582.0;1582.0;6565.0;2.7179718017578125e-05;2.4557113647460938e-05;0.005513191223144531;
Calais-Brussels;204.0;204.0;204.0;1.0728836059570312e-05;5.245208740234375e-06;0.0008521080017089844;
Barcelona-Hook of Holland;1490.0;1490.0;1702.0;3.8623809814453125e-05;3.314018249511719e-05;0.0029633045196533203;
Milan-Copenhagen;1449.0;1449.0;3244.0;3.361701965332031e-05;4.267692565917969e-05;0.0033507347106933594;
Paris-Cologne;465.0;465.0;9463.0;1.811981201171875e-05;8.821487426757812e-06;0.003961801528930664;
Lisbon-Milan;2938.0;2938.0;7042.0;4.553794860839844e-05;5.173683166503906e-05;0.002409696578979492;
Vienna-Copenhagen;1474.0;1474.0;7176.0;4.315376281738281e-05;3.528594970703125e-05;0.005166530609130859;
Stockholm-Paris;1376.0;1376.0;9399.0;2.5510787963867188e-05;1.7404556274414062e-05;0.004863739013671875;
Hamburg-Milan;1136.0;1136.0;0;3.0279159545898438e-05;2.5510787963867188e-05;0.08664941787719727;
Geneva-Hamburg;1317.0;1317.0;4781.0;4.887580871582031e-05;2.8133392333984375e-05;0.004111766815185547;
Copenhagen-Munich;1104.0;1104.0;0;2.2649765014648438e-05;2.5510787963867188e-05;0.3917398452758789;
Copenhagen-Paris;726.0;726.0;1595.0;2.2172927856445312e-05;1.430511474609375e-05;0.0034286975860595703;
