Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Calais-Hamburg;870.0;870.0;2448.0;2.5987625122070312e-05;2.6226043701171875e-05;0.002173185348510742;
Hamburg-Geneva;1464.0;1464.0;0;3.4332275390625e-05;3.814697265625e-05;0.14894390106201172;
Cologne-Brussels;1057.0;1057.0;0;2.7418136596679688e-05;3.0517578125e-05;0.08939266204833984;
Paris-Geneva;1704.0;1704.0;0;4.673004150390625e-05;3.719329833984375e-05;0.14888525009155273;
Athens-Stockholm;4096.0;4096.0;0;4.00543212890625e-05;5.412101745605469e-05;0.11801385879516602;
Hamburg-Paris;1226.0;1226.0;0;2.4318695068359375e-05;3.552436828613281e-05;0.12270307540893555;
Munich-Vienna;1678.0;1678.0;0;1.8596649169921875e-05;4.863739013671875e-05;0.0438387393951416;
Cologne-Hook of Holland;269.0;269.0;269.0;1.4781951904296875e-05;6.9141387939453125e-06;0.0006570816040039062;
Gibraltar-Barcelona;1172.0;1172.0;0;1.5497207641601562e-05;1.0967254638671875e-05;0.12852001190185547;
Vienna-Rome;2082.0;2082.0;0;2.0503997802734375e-05;5.316734313964844e-05;0.11539053916931152;
Lyons-Athens;2753.0;2753.0;0;3.62396240234375e-05;6.318092346191406e-05;0.06553077697753906;
Milan-Gibraltar;2303.0;2303.0;0;3.24249267578125e-05;5.8650970458984375e-05;0.11937212944030762;
Lyons-Marseilles;320.0;320.0;0;1.52587890625e-05;7.152557373046875e-06;0.12500524520874023;
Vienna-Marseilles;1377.0;1377.0;0;2.7179718017578125e-05;2.765655517578125e-05;0.11800765991210938;
Geneva-Barcelona;803.0;803.0;0;2.3365020751953125e-05;1.5497207641601562e-05;0.12358331680297852;
Hook of Holland-Cherbourg;731.0;731.0;2279.0;2.1457672119140625e-05;1.71661376953125e-05;0.0020742416381835938;
Rome-Gibraltar;2704.0;2704.0;0;3.0517578125e-05;5.745887756347656e-05;0.13189148902893066;
Hamburg-Copenhagen;1038.0;1038.0;6093.0;2.3365020751953125e-05;1.9788742065429688e-05;0.0014734268188476562;
Madrid-Rome;2096.0;2096.0;0;2.9802322387695312e-05;4.744529724121094e-05;0.12327694892883301;
Hamburg-Athens;2977.0;2977.0;0;3.266334533691406e-05;5.9604644775390625e-05;0.05940842628479004;
Vienna-Lyons;1152.0;1152.0;1157.0;2.6226043701171875e-05;1.5020370483398438e-05;0.000789642333984375;
Calais-Hook of Holland;376.0;376.0;0;1.621246337890625e-05;9.5367431640625e-06;0.11748909950256348;
Milan-Hook of Holland;1180.0;1180.0;0;3.2901763916015625e-05;2.6464462280273438e-05;0.12320637702941895;
Marseilles-Paris;792.0;792.0;0;2.6702880859375e-05;1.4781951904296875e-05;0.12483501434326172;
Lisbon-Munich;2607.0;2607.0;0;3.552436828613281e-05;4.482269287109375e-05;0.11760807037353516;
Calais-Madrid;1807.0;1807.0;0;3.5762786865234375e-05;5.507469177246094e-05;0.09588122367858887;
Copenhagen-Hook of Holland;269.0;269.0;0;1.430511474609375e-05;6.67572021484375e-06;0.12401032447814941;
Gibraltar-Madrid;698.0;698.0;0;1.0967254638671875e-05;5.7220458984375e-06;0.09230160713195801;
Barcelona-Stockholm;2753.0;2753.0;0;3.719329833984375e-05;5.888938903808594e-05;0.12690234184265137;
Hook of Holland-Paris;457.0;457.0;0;2.0265579223632812e-05;1.0728836059570312e-05;0.12683391571044922;
Cherbourg-Lyons;789.0;789.0;3005.0;3.5762786865234375e-05;1.9550323486328125e-05;0.0020139217376708984;
Munich-Hook of Holland;919.0;919.0;0;3.170967102050781e-05;2.2172927856445312e-05;0.11682367324829102;
Brussels-Hamburg;666.0;666.0;2850.0;2.1219253540039062e-05;1.9311904907226562e-05;0.0027015209197998047;
