Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cherbourg-Munich;1920.0;1920.0;0;5.173683166503906e-05;4.649162292480469e-05;0.09723424911499023;
Lisbon-Madrid;2459.0;2459.0;0;2.384185791015625e-05;3.8623809814453125e-05;0.06058549880981445;
Calais-Gibraltar;2505.0;2505.0;0;4.363059997558594e-05;5.817413330078125e-05;0.1453087329864502;
Cologne-Brussels;1057.0;1057.0;0;2.6464462280273438e-05;3.0517578125e-05;0.511544942855835;
Lyons-Lisbon;1178.0;1178.0;0;1.6450881958007812e-05;2.2411346435546875e-05;0.08015179634094238;
Madrid-Marseilles;1157.0;1157.0;0;2.7179718017578125e-05;1.430511474609375e-05;0.12458014488220215;
Athens-Lyons;2903.0;2903.0;3448.0;2.7418136596679688e-05;1.7881393432617188e-05;0.0034515857696533203;
Hamburg-Lisbon;2337.0;2337.0;0;4.76837158203125e-05;5.269050598144531e-05;0.06965041160583496;
Milan-Brussels;1281.0;1281.0;0;3.838539123535156e-05;3.4332275390625e-05;0.522794246673584;
Lyons-Barcelona;645.0;645.0;0;2.0503997802734375e-05;1.1920928955078125e-05;0.14305806159973145;
Cologne-Gibraltar;2436.0;2436.0;0;4.482269287109375e-05;5.6743621826171875e-05;0.15541839599609375;
Rome-Lyons;1048.0;1048.0;0;1.8835067749023438e-05;1.6927719116210938e-05;0.12793946266174316;
Hook of Holland-Marseilles;1183.0;1183.0;0;4.506111145019531e-05;2.5987625122070312e-05;0.13615894317626953;
Rome-Athens;2868.0;2868.0;0;2.0742416381835938e-05;5.8650970458984375e-05;0.1269819736480713;
Athens-Hook of Holland;3030.0;3030.0;0;4.1484832763671875e-05;2.9325485229492188e-05;0.060719966888427734;
Vienna-Milan;759.0;759.0;0;1.6927719116210938e-05;9.775161743164062e-06;0.058101654052734375;
Cherbourg-Milan;1209.0;1209.0;0;3.0279159545898438e-05;3.24249267578125e-05;0.057602643966674805;
Copenhagen-Athens;3299.0;3299.0;0;4.7206878662109375e-05;6.079673767089844e-05;0.1294574737548828;
Madrid-Lyons;1281.0;1281.0;2662.0;2.6941299438476562e-05;6.437301635742188e-05;0.0021147727966308594;
Lyons-Paris;1112.0;1112.0;0;8.606910705566406e-05;3.0994415283203125e-05;0.0999150276184082;
Barcelona-Lisbon;1305.0;1305.0;0;2.7418136596679688e-05;3.695487976074219e-05;0.06087636947631836;
Munich-Lyons;724.0;724.0;1269.0;2.9802322387695312e-05;1.811981201171875e-05;0.001856088638305664;
Hamburg-Calais;2213.0;2213.0;0;5.888938903808594e-05;5.364418029785156e-05;0.13671588897705078;
Brussels-Geneva;1435.0;1435.0;0;5.602836608886719e-05;4.172325134277344e-05;0.07095098495483398;
Marseilles-Paris;792.0;792.0;0;3.0994415283203125e-05;1.5020370483398438e-05;0.11251640319824219;
Barcelona-Athens;3398.0;3398.0;0;8.392333984375e-05;7.62939453125e-05;0.12903070449829102;
Hamburg-Lyons;1159.0;1159.0;0;4.2438507080078125e-05;3.24249267578125e-05;0.1368851661682129;
Cherbourg-Vienna;2270.0;2270.0;0;9.512901306152344e-05;6.127357482910156e-05;0.05855131149291992;
Marseilles-Calais;1059.0;1059.0;0;4.172325134277344e-05;2.7894973754882812e-05;0.13922357559204102;
Geneva-Munich;1447.0;1447.0;0;3.719329833984375e-05;0.00011324882507324219;0.07909154891967773;
Paris-Marseilles;1500.0;1500.0;0;0.00045752525329589844;4.076957702636719e-05;0.12405252456665039;
Gibraltar-Vienna;2994.0;2994.0;0;4.6253204345703125e-05;5.8650970458984375e-05;0.05755805969238281;
Paris-Calais;2453.0;2453.0;0;5.316734313964844e-05;5.6743621826171875e-05;0.12170267105102539;
Gibraltar-Calais;2224.0;2224.0;0;3.4809112548828125e-05;2.7418136596679688e-05;0.1282484531402588;
Milan-Calais;1077.0;1077.0;0;2.5510787963867188e-05;2.1219253540039062e-05;0.12910842895507812;
Paris-Madrid;2535.0;2535.0;0;8.58306884765625e-05;0.0001423358917236328;0.06022906303405762;
Marseilles-Cologne;1035.0;1035.0;8253.0;3.910064697265625e-05;2.4557113647460938e-05;0.0037088394165039062;
Munich-Gibraltar;2537.0;2537.0;0;4.0531158447265625e-05;6.079673767089844e-05;0.14287400245666504;
Geneva-Cherbourg;853.0;853.0;0;3.266334533691406e-05;1.7881393432617188e-05;0.14125680923461914;
Stockholm-Gibraltar;3695.0;3695.0;0;5.1021575927734375e-05;5.984306335449219e-05;0.14366698265075684;
Lyons-Brussels;1331.0;1331.0;0;4.076957702636719e-05;2.956390380859375e-05;0.4791405200958252;
Gibraltar-Copenhagen;2697.0;2697.0;0;4.601478576660156e-05;5.1021575927734375e-05;0.13398218154907227;
Lyons-Vienna;1683.0;1683.0;0;2.8848648071289062e-05;4.7206878662109375e-05;0.06045103073120117;
Munich-Madrid;2005.0;2005.0;0;2.9087066650390625e-05;5.221366882324219e-05;0.06806731224060059;
Hook of Holland-Madrid;2078.0;2078.0;0;3.647804260253906e-05;4.458427429199219e-05;0.0777595043182373;
Hook of Holland-Rome;1683.0;1683.0;0;4.5299530029296875e-05;4.00543212890625e-05;0.06270861625671387;
Lisbon-Cherbourg;1827.0;1827.0;0;4.863739013671875e-05;2.3126602172851562e-05;0.13673877716064453;
Gibraltar-Lyons;1817.0;1817.0;3360.0;2.9087066650390625e-05;1.621246337890625e-05;0.002469778060913086;
Madrid-Cherbourg;1930.0;1930.0;0;4.2438507080078125e-05;3.8623809814453125e-05;0.13553166389465332;
Cologne-Milan;911.0;911.0;0;3.24249267578125e-05;2.0265579223632812e-05;0.06198692321777344;
Copenhagen-Lyons;1619.0;1619.0;2475.0;4.0531158447265625e-05;3.886222839355469e-05;0.0019478797912597656;
Madrid-Cologne;1764.0;1764.0;8556.0;4.0531158447265625e-05;3.504753112792969e-05;0.0032525062561035156;
Stockholm-Madrid;2997.0;2997.0;0;5.054473876953125e-05;5.412101745605469e-05;0.06046104431152344;
Copenhagen-Cherbourg;1000.0;1000.0;0;2.288818359375e-05;2.3365020751953125e-05;0.1406688690185547;
Athens-Vienna;1991.0;1991.0;0;1.0728836059570312e-05;5.245208740234375e-06;0.06103992462158203;
Copenhagen-Hamburg;460.0;460.0;460.0;2.1457672119140625e-05;1.049041748046875e-05;0.0006897449493408203;
Stockholm-Barcelona;2908.0;2908.0;0;4.863739013671875e-05;5.0067901611328125e-05;0.13494539260864258;
Copenhagen-Brussels;966.0;966.0;0;2.7179718017578125e-05;2.002716064453125e-05;0.48935794830322266;
Lisbon-Paris;1799.0;1799.0;0;2.8133392333984375e-05;1.5020370483398438e-05;0.09178328514099121;
Cherbourg-Rome;2094.0;2094.0;0;0.00011563301086425781;6.4849853515625e-05;0.0581212043762207;
