Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cherbourg-Vienna;2270.0;2270.0;0;4.7206878662109375e-05;6.222724914550781e-05;0.09267640113830566;
Milan-Geneva;328.0;328.0;0;1.0967254638671875e-05;6.4373016357421875e-06;0.060543060302734375;
Milan-Paris;1376.0;1376.0;0;3.170967102050781e-05;4.315376281738281e-05;0.5167100429534912;
Hamburg-Copenhagen;1038.0;1038.0;0;2.2649765014648438e-05;2.0265579223632812e-05;0.06470108032226562;
Barcelona-Lyons;645.0;645.0;0;1.3828277587890625e-05;6.67572021484375e-06;0.05821633338928223;
Munich-Geneva;659.0;659.0;0;1.4781951904296875e-05;1.049041748046875e-05;0.05917167663574219;
Milan-Rome;1323.0;1323.0;0;1.2874603271484375e-05;3.7670135498046875e-05;0.06993365287780762;
Munich-Hamburg;805.0;805.0;0;3.147125244140625e-05;2.0503997802734375e-05;0.10842728614807129;
Geneva-Hamburg;1317.0;1317.0;0;4.887580871582031e-05;3.0517578125e-05;0.11589860916137695;
Munich-Milan;331.0;331.0;0;1.2874603271484375e-05;6.198883056640625e-06;0.14745807647705078;
Lyons-Lisbon;1178.0;1178.0;0;1.5735626220703125e-05;2.3365020751953125e-05;0.06027817726135254;
Stockholm-Rome;2602.0;2602.0;0;4.57763671875e-05;4.887580871582031e-05;0.07506227493286133;
Athens-Cologne;3132.0;3132.0;7822.0;4.100799560546875e-05;3.600120544433594e-05;0.002647876739501953;
Hamburg-Lisbon;2337.0;2337.0;0;4.57763671875e-05;5.459785461425781e-05;0.06492209434509277;
Milan-Cologne;911.0;911.0;5692.0;3.147125244140625e-05;1.71661376953125e-05;0.002168416976928711;
Hamburg-Lyons;1159.0;1159.0;0;3.886222839355469e-05;3.2901763916015625e-05;0.0614166259765625;
Barcelona-Stockholm;2753.0;2753.0;0;3.790855407714844e-05;6.079673767089844e-05;0.06447863578796387;
Milan-Stockholm;2314.0;2314.0;0;2.9087066650390625e-05;6.031990051269531e-05;0.06368660926818848;
Lyons-Milan;1760.0;1760.0;0;4.935264587402344e-05;5.2928924560546875e-05;0.13950419425964355;
Vienna-Gibraltar;2965.0;2965.0;4317.0;3.4332275390625e-05;6.031990051269531e-05;0.0028281211853027344;
Cherbourg-Hamburg;1115.0;1115.0;0;2.8848648071289062e-05;3.0994415283203125e-05;0.11661458015441895;
Cologne-Copenhagen;538.0;538.0;0;1.7881393432617188e-05;1.621246337890625e-05;0.06777596473693848;
