Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Marseilles-Barcelona;965.0;965.0;0;2.5272369384765625e-05;1.811981201171875e-05;0.7161092758178711;
Gibraltar-Brussels;2256.0;2256.0;0;4.673004150390625e-05;3.075599670410156e-05;0.1988508701324463;
Cologne-Lisbon;2264.0;2264.0;0;5.4836273193359375e-05;5.984306335449219e-05;0.5715246200561523;
Cologne-Stockholm;1403.0;1403.0;0;1.6927719116210938e-05;4.1961669921875e-05;0.635751485824585;
Gibraltar-Cologne;2436.0;2436.0;0;4.601478576660156e-05;3.886222839355469e-05;0.15792250633239746;
Cherbourg-Milan;1209.0;1209.0;4681.0;3.4332275390625e-05;3.457069396972656e-05;0.0036993026733398438;
Barcelona-Calais;1326.0;1326.0;0;2.3126602172851562e-05;2.8371810913085938e-05;0.5750257968902588;
Madrid-Barcelona;636.0;636.0;0;1.239776611328125e-05;6.9141387939453125e-06;0.7253730297088623;
Vienna-Brussels;1175.0;1175.0;0;3.5762786865234375e-05;2.3603439331054688e-05;0.21200346946716309;
Munich-Rome;1654.0;1654.0;0;1.9073486328125e-05;4.863739013671875e-05;0.6101036071777344;
Lisbon-Geneva;1923.0;1923.0;0;2.6226043701171875e-05;2.7894973754882812e-05;0.6023745536804199;
Stockholm-Hook of Holland;919.0;919.0;919.0;2.4318695068359375e-05;1.1920928955078125e-05;0.0015778541564941406;
Madrid-Lisbon;1941.0;1941.0;0;2.5033950805664062e-05;4.458427429199219e-05;0.6289839744567871;
Calais-Vienna;1381.0;1381.0;0;4.839897155761719e-05;4.315376281738281e-05;0.7256858348846436;
Athens-Madrid;4184.0;4184.0;5038.0;4.076957702636719e-05;6.198883056640625e-05;0.0037794113159179688;
Milan-Gibraltar;2303.0;2303.0;0;3.361701965332031e-05;6.29425048828125e-05;0.5903263092041016;
Geneva-Lyons;158.0;158.0;5557.0;1.33514404296875e-05;5.4836273193359375e-06;0.0045032501220703125;
Gibraltar-Athens;4570.0;4570.0;0;3.933906555175781e-05;6.604194641113281e-05;0.25505661964416504;
Athens-Cherbourg;3339.0;3339.0;3691.0;3.4809112548828125e-05;4.839897155761719e-05;0.0029654502868652344;
Gibraltar-Madrid;698.0;698.0;4175.0;1.3589859008789062e-05;7.152557373046875e-06;0.0021333694458007812;
Hook of Holland-Gibraltar;2776.0;2776.0;0;4.649162292480469e-05;6.389617919921875e-05;0.7700080871582031;
Athens-Hook of Holland;3030.0;3030.0;4842.0;4.601478576660156e-05;3.2901763916015625e-05;0.006585121154785156;
Vienna-Cologne;1381.0;1381.0;0;4.673004150390625e-05;3.7670135498046875e-05;0.7196993827819824;
Cherbourg-Geneva;1526.0;1526.0;0;4.38690185546875e-05;4.839897155761719e-05;0.6091711521148682;
Lyons-Copenhagen;1458.0;1458.0;0;5.14984130859375e-05;4.744529724121094e-05;0.6509828567504883;
Calais-Munich;1675.0;1675.0;0;4.601478576660156e-05;5.364418029785156e-05;0.7185885906219482;
Gibraltar-Hook of Holland;2428.0;2428.0;3979.0;4.8160552978515625e-05;3.814697265625e-05;0.005423545837402344;
Lyons-Rome;1740.0;1740.0;0;2.8133392333984375e-05;5.555152893066406e-05;0.611405611038208;
Lyons-Cherbourg;1598.0;1598.0;1598.0;3.337860107421875e-05;4.887580871582031e-05;0.0037899017333984375;
Cherbourg-Stockholm;2167.0;2167.0;0;2.574920654296875e-05;6.198883056640625e-05;0.5997233390808105;
Copenhagen-Vienna;1615.0;1615.0;0;2.3603439331054688e-05;4.00543212890625e-05;0.6707479953765869;
Paris-Vienna;2032.0;2032.0;2032.0;3.337860107421875e-05;5.412101745605469e-05;0.0015363693237304688;
Brussels-Lisbon;1868.0;1868.0;0;4.673004150390625e-05;5.793571472167969e-05;0.5782787799835205;
Hook of Holland-Vienna;1884.0;1884.0;0;2.7894973754882812e-05;4.982948303222656e-05;0.6927716732025146;
Hook of Holland-Barcelona;2148.0;2148.0;0;5.2928924560546875e-05;5.3882598876953125e-05;0.687192440032959;
Hamburg-Lyons;1159.0;1159.0;1159.0;6.413459777832031e-05;3.647804260253906e-05;0.0008847713470458984;
Geneva-Copenhagen;1616.0;1616.0;0;5.698204040527344e-05;5.841255187988281e-05;0.6483633518218994;
Calais-Brussels;204.0;204.0;0;1.3113021850585938e-05;6.198883056640625e-06;0.17983603477478027;
Hook of Holland-Milan;1098.0;1098.0;0;4.172325134277344e-05;2.6941299438476562e-05;0.7221055030822754;
Milan-Athens;2282.0;2282.0;0;3.790855407714844e-05;6.0558319091796875e-05;0.2611861228942871;
Hamburg-Hook of Holland;769.0;769.0;3468.0;2.0265579223632812e-05;1.1444091796875e-05;0.0058901309967041016;
Vienna-Marseilles;1377.0;1377.0;1377.0;3.0517578125e-05;3.075599670410156e-05;0.002324819564819336;
Cologne-Athens;3193.0;3193.0;0;4.696846008300781e-05;6.890296936035156e-05;0.2352442741394043;
Brussels-Gibraltar;2490.0;2490.0;0;4.863739013671875e-05;6.651878356933594e-05;0.7986481189727783;
Rome-Brussels;1867.0;1867.0;0;5.030632019042969e-05;5.1975250244140625e-05;0.19064640998840332;
Lisbon-Hook of Holland;2256.0;2256.0;3024.0;4.863739013671875e-05;3.24249267578125e-05;0.0035135746002197266;
