Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.010075569152832;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0031089782714844;
Hamburg-Paris;1149.0;1149.0;3621.0;0.0;0.0;0.0020074844360351562;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0006756782531738;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0151917934417725;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0017483234405518;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.002537488937378;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0091397762298584;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0044114589691162;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0040640830993652;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0011496543884277;
Cologne-Munich;1438.0;1438.0;9332.0;0.0;0.0;0.0;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0040833950042725;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.005552053451538;
Vienna-Cherbourg;1588.0;1588.0;11194.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;2707.0;0.0;0.0;0.0020923614501953125;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.003293752670288;
Lyons-Calais;894.0;894.0;7009.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;6291.0;0.0;0.0;0.008086442947387695;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.012178897857666;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0097403526306152;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0033552646636963;
Lisbon-Vienna;2330.0;2330.0;2937.0;0.0;0.0;0.0030515193939208984;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0016770362854004;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0023994445800781;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0015308856964111;
Lisbon-Rome;2092.0;2092.0;7749.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0034193992614746;
Madrid-Paris;1830.0;1830.0;4038.0;0.0;0.0;0.0;
Marseilles-Paris;938.0;938.0;2953.0;0.0;0.0;0.01459503173828125;
Barcelona-Paris;1316.0;1316.0;1603.0;0.0;0.0;0.003971576690673828;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0117170810699463;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0019605159759521;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0024669170379639;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0000066757202148;
Stockholm-Calais;1786.0;1786.0;4369.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.006025791168213;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0033447742462158;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.003002405166626;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0015344619750977;
Marseilles-Madrid;1157.0;1157.0;4223.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;6382.0;0.0;0.0;0.014255285263061523;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0096266269683838;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0038468837738037;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.001478672027588;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0004096031188965;
Hamburg-Rome;1722.0;1722.0;9780.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0163688659667969;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.001283884048462;
Brussels-Munich;1106.0;1106.0;6983.0;0.0;0.0;0.0;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0153074264526367;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0044488906860352;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0012030601501465;
