Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0056326389312744;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0010802745819092;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0053038597106934;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0030779838562012;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0086138248443604;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0085804462432861;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0129876136779785;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0011355876922607;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0073611736297607;
Athens-Geneva;3010.0;3010.0;6460.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;4477.0;0.0;0.0;0.0050814151763916016;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0154762268066406;
Cherbourg-Lyons;1273.0;1273.0;2745.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.009052038192749;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0005149841308594;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0029823780059814;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0080091953277588;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0016956329345703;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0155858993530273;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0050206184387207;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0008213520050049;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0015137195587158;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0010178089141846;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0017385482788086;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0015714168548584;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.001462459564209;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.000964641571045;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0015244483947754;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0012998580932617;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0122020244598389;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0144352912902832;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.004854679107666;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0150928497314453;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0015254020690918;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0020244121551514;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0007789134979248;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0058784484863281;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0080046653747559;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0152223110198975;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0000319480895996;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0140984058380127;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0040357112884521;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0144603252410889;
Athens-Lyons;3148.0;3148.0;9937.0;0.0;0.0;0.00806117057800293;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0006098747253418;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0146701335906982;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0156171321868896;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0017938613891602;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.013134479522705;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.01432466506958;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0007688999176025;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0149123668670654;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.000838279724121;
