Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0100326538085938;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0117137432098389;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.01347017288208;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0032291412353516;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.001828670501709;
Copenhagen-Hook of Holland;1466.0;1466.0;4832.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0073537826538086;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.002230167388916;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.014594554901123;
Athens-Geneva;3010.0;3010.0;4694.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.015578269958496;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0023245811462402;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.001291036605835;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0150163173675537;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0009546279907227;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.001497745513916;
Lisbon-Hook of Holland;2231.0;2231.0;8734.0;0.0;0.0;0.017016887664794922;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0110609531402588;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0153186321258545;
Lyons-Hook of Holland;1053.0;1053.0;7556.0;0.0;0.0;0.004683256149291992;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.012542963027954;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0013527870178223;
Milan-Hook of Holland;1459.0;1459.0;7228.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.004192590713501;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.002058506011963;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0037832260131836;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0133402347564697;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.014693021774292;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0423939228057861;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0060703754425049;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0009708404541016;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0011093616485596;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0023741722106934;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0015418529510498;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0137333869934082;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0028817653656006;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0129632949829102;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0137863159179688;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0010461807250977;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0146822929382324;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0049772262573242;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0037586688995361;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.014742136001587;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.000523328781128;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.00101900100708;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0080921649932861;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.015249490737915;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0153234004974365;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0006389617919922;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0033998489379883;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0074653625488281;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0024027824401855;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.004164457321167;
