Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0078630447387695;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0023560523986816;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.015136480331421;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0005908012390137;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.004737377166748;
Copenhagen-Hook of Holland;1466.0;1466.0;4832.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0006651878356934;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0059750080108643;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0023362636566162;
Athens-Geneva;3010.0;3010.0;6460.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0074198246002197;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0010151863098145;
Cherbourg-Lyons;1273.0;1273.0;5303.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;5908.0;0.0;0.0;0.005006313323974609;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0113575458526611;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.009690523147583;
Lisbon-Hook of Holland;2231.0;2231.0;8734.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0071918964385986;
Barcelona-Madrid;1678.0;1678.0;3248.0;0.0;0.0;0.0;
Lyons-Hook of Holland;1053.0;1053.0;7556.0;0.0;0.0;0.009215354919433594;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0094923973083496;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0047874450683594;
Milan-Hook of Holland;1459.0;1459.0;7228.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0061590671539307;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0102760791778564;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0018689632415771;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0010499954223633;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0019185543060303;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0014774799346924;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0021426677703857;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0009181499481201;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0014457702636719;
Calais-Vienna;1381.0;1381.0;1381.0;0.0;0.0;0.0;
Lisbon-Lyons;1178.0;1178.0;4429.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;3933.0;0.0;0.0;0.003930568695068359;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0113775730133057;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0142626762390137;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0055489540100098;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0136215686798096;
Brussels-Geneva;677.0;677.0;5538.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0024735927581787;
Marseilles-Madrid;1157.0;1157.0;3769.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0149543285369873;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0148165225982666;
Athens-Lyons;3148.0;3148.0;9852.0;0.0;0.0;0.00350189208984375;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0031838417053223;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0131900310516357;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0135486125946045;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.000290870666504;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0145998001098633;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0027592182159424;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0129663944244385;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0125129222869873;
Hook of Holland-Gibraltar;2428.0;2428.0;6816.0;0.0;0.0;0.0;
