Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.000793218612671;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0002031326293945;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.000676155090332;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0013518333435059;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0013041496276855;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.008010625839233398;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.014493703842163;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0021579265594482;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0150399208068848;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;7562.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;13293.0;0.0;0.0;0.011005878448486328;
Cherbourg-Lyons;1273.0;1273.0;13665.0;0.0;0.0;0.010123491287231445;
Rome-Geneva;1206.0;1206.0;6646.0;0.0;0.0;0.005000114440917969;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0081243515014648;
Stockholm-Rome;2671.0;2671.0;5697.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.008056879043579102;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0061938762664795;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0019772052764893;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0049030780792236;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0001106262207031;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.013617992401123;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0136237144470215;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.012808084487915;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0030648708343506;
Lisbon-Rome;2092.0;2092.0;11883.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0147771835327148;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0146920680999756;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.013753890991211;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.001155138015747;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0002541542053223;
Lisbon-Lyons;1178.0;1178.0;1178.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.007802963256836;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0018815994262695;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0022385120391846;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0017695426940918;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0015289783477783;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0017473697662354;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0025482177734375;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0022921562194824;
Athens-Lyons;3148.0;3148.0;15554.0;0.0;0.0;0.014919757843017578;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.004002571105957031;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.007345199584961;
Hamburg-Rome;1722.0;1722.0;4847.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0135650634765625;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.013033390045166;
Brussels-Munich;1106.0;1106.0;6707.0;0.0;0.0;0.0;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0012950897216797;
Munich-Milan;331.0;331.0;331.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.001713752746582;
