Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0025978088378906;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.001542091369629;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0000863075256348;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0033559799194336;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0143063068389893;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.001845359802246;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.002213716506958;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0012238025665283;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0009315013885498;
Athens-Geneva;3010.0;3010.0;4694.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0020804405212402;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.002115249633789;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.002788782119751;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0015764236450195;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;2707.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.002392292022705;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0019793510437012;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0025160312652588;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.001798152923584;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0010042190551758;
Copenhagen-Lisbon;2636.0;2636.0;3166.0;0.0;0.0;0.0;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0011141300201416;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0016002655029297;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0022306442260742;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0020103454589844;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0001051425933838;
Lisbon-Rome;2092.0;2092.0;7749.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0155539512634277;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0135200023651123;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0008947849273682;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0000858306884766;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0019609928131104;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0086252689361572;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0019512176513672;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.015547275543213;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0026330947875977;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0145080089569092;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.006845235824585;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0008280277252197;
Gibraltar-Copenhagen;2697.0;2697.0;3196.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.00010347366333;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0125079154968262;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0120658874511719;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0018346309661865;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0131597518920898;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0011608600616455;
Hamburg-Rome;1722.0;1722.0;6045.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;2969.0;0.0;0.0;0.005006074905395508;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0113835334777832;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0149297714233398;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0035603046417236;
Munich-Milan;331.0;331.0;331.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0148119926452637;
