Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.005371332168579;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0018091201782227;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0147335529327393;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0136432647705078;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0135159492492676;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0155160427093506;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0158088207244873;
Gibraltar-Marseilles;1693.0;1693.0;4475.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0002601146697998;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0013172626495361;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0017540454864502;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.002187728881836;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0011096000671387;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0015435218811035;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0009548664093018;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0018184185028076;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0012166500091553;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0024175643920898;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0016589164733887;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0005419254302979;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0013654232025146;
Copenhagen-Lisbon;2636.0;2636.0;8439.0;0.0;0.0;0.011067628860473633;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.011768102645874;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.013962984085083;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0037131309509277;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0001709461212158;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0124192237854004;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.014861822128296;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0121879577636719;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.004967451095581;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0150525569915771;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.016002893447876;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0014307498931885;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0016472339630127;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0011506080627441;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0018494129180908;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0003855228424072;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0021696090698242;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0023529529571533;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0015556812286377;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0025064945220947;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0024266242980957;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.000993251800537;
Stockholm-Brussels;1672.0;1672.0;4186.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0000476837158203;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0018820762634277;
Paris-Brussels;285.0;285.0;285.0;0.0;0.0;0.001611471176147461;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0014843940734863;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0152475833892822;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.002303123474121;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0037918090820312;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0085537433624268;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.000452995300293;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0017225742340088;
