Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0101048946380615;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.007277250289917;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0004806518554688;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.001434326171875;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0004246234893799;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0036976337432861;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.002537488937378;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0151853561401367;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0148694515228271;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0137121677398682;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0039069652557373;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.014601230621338;
Cherbourg-Lyons;1273.0;1273.0;2843.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0056586265563965;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;2707.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.012101650238037;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.000976800918579;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0019097328186035;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.000704050064087;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0020053386688232;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0024073123931885;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0014984607696533;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0023961067199707;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0001757144927979;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0015473365783691;
Lisbon-Rome;2092.0;2092.0;7749.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0138285160064697;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0149774551391602;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0022060871124268;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0138487815856934;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.01171875;
Lisbon-Lyons;1178.0;1178.0;8797.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0153827667236328;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.014700174331665;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0128107070922852;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0012357234954834;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.001007080078125;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0017340183258057;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0010859966278076;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.005083799362182617;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.007286787033081;
Athens-Lyons;3148.0;3148.0;7851.0;0.0;0.0;0.0;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0033361911773682;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0149097442626953;
Hamburg-Rome;1722.0;1722.0;7768.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0140509605407715;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.000368595123291;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0127148628234863;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0016231536865234;
Munich-Milan;331.0;331.0;4013.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0034029483795166;
