Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0053200721740723;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.009244441986084;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0040245056152344;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0152475833892822;
Munich-Barcelona;1345.0;1345.0;13212.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;6709.0;0.0;0.0;0.01100611686706543;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0032689571380615;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0001490116119385;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.001220703125;
Athens-Geneva;3010.0;3010.0;6460.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;5285.0;0.0;0.0;0.008612394332885742;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0004749298095703;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0008621215820312;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.000135898590088;
Vienna-Cherbourg;1588.0;1588.0;2226.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0044562816619873;
Lisbon-Hook of Holland;2231.0;2231.0;10611.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0032472610473633;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0021352767944336;
Lyons-Hook of Holland;1053.0;1053.0;9433.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;4337.0;0.0;0.0;0.007085323333740234;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.010300874710083;
Milan-Hook of Holland;1459.0;1459.0;9105.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.002598762512207;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.001234531402588;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0016686916351318;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0023822784423828;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0022087097167969;
Lyons-Barcelona;1342.0;1342.0;10650.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0049924850463867;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0034780502319336;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0060110092163086;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0002520084381104;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0145602226257324;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0146372318267822;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0135960578918457;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0064961910247803;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.014897108078003;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.002898931503296;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0014469623565674;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0016109943389893;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0118958950042725;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0016493797302246;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0028324127197266;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0032625198364258;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0047004222869873;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0020110607147217;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0008952617645264;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0016999244689941;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.001863956451416;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0010507106781006;
