Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0020389556884766;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0018250942230225;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.000662088394165;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0024733543395996;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0039806365966797;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.000171422958374;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.002427577972412;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0060956478118896;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0015947818756104;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0014443397521973;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0033183097839355;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0029165744781494;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0026865005493164;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0006983280181885;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.015484094619751;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0137019157409668;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0143649578094482;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0006208419799805;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.014739751815796;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.00404691696167;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0023179054260254;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0023975372314453;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0015981197357178;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.001828908920288;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0017545223236084;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0019071102142334;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.001842975616455;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.001807689666748;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0020081996917725;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0022668838500977;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0008413791656494;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.014106035232544;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.004610538482666;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0011663436889648;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0152688026428223;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0143697261810303;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0003135204315186;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0062761306762695;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0149569511413574;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0144031047821045;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0050466060638428;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0145463943481445;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0032005310058594;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0151844024658203;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0134179592132568;
