Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0013079643249512;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0000052452087402;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.006274938583374;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.011002540588378906;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0092084407806396;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0002703666687012;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0033454895019531;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.015153408050537;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.009735345840454;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0035295486450195;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0020873546600342;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0032143592834473;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0006446838378906;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0143043994903564;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0000288486480713;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0013511180877686;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.013185977935791;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0149798393249512;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.000762939453125;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0021426677703857;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0144944190979004;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0144736766815186;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0020828247070312;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0149126052856445;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0120642185211182;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0034408569335938;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.00819993019104;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0008294582366943;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0018575191497803;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.000340223312378;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0029881000518799;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0143449306488037;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.015044927597046;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0134477615356445;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0043938159942627;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.00881028175354;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0054850578308105;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0039596557617188;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.004319429397583;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0034470558166504;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.007523536682129;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.00046968460083;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0015084743499756;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0014879703521729;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0008907318115234;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0014464855194092;
