Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.004786729812622;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0005385875701904;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.007826805114746;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.014394760131836;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.007003307342529297;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0005807876586914;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.000643014907837;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0023877620697021;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.000199556350708;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0026962757110596;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0021040439605713;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0015292167663574;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0014209747314453;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0016276836395264;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0015921592712402;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0016827583312988;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.000715970993042;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.000441551208496;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0021131038665771;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.002450704574585;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0012354850769043;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.002138376235962;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0025067329406738;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.001936674118042;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0024421215057373;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0039970874786377;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0001966953277588;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0025780200958252;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0021982192993164;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.00260329246521;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0018091201782227;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0042433738708496;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.008483409881591797;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.004300594329834;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0020394325256348;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0024516582489014;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0030128955841064;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0051853656768799;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0029950141906738;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.017529010772705078;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0025315284729004;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0033419132232666;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0046532154083252;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0071232318878174;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0031929016113281;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0010535717010498;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.000807523727417;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.002350091934204;
