Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0068714618682861;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.002021074295044;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0107715129852295;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.00200653076171875;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0033745765686035;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0038740634918213;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0010898113250732;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0033998489379883;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0049974918365479;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.014554500579834;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0016756057739258;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0003023147583008;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.00042724609375;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0056264400482178;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.015486240386963;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0087339878082275;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0151340961456299;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0028724670410156;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0069973468780518;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0034232139587402;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0013010501861572;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0037145614624023;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0137925148010254;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0073754787445068;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0017530918121338;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0007755756378174;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0015745162963867;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0010943412780762;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0085747241973877;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0030124187469482;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0005691051483154;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.001784086227417;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0027692317962646;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.000331163406372;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0025393962860107;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0004220008850098;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0011627674102783;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0018963813781738;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.007354736328125;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0022015571594238;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0044190883636475;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0021612644195557;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0052874088287354;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0079045295715332;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0028514862060547;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0049824714660645;
