Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0139894485473633;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0051870346069336;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0054125785827637;
Calais-Brussels;204.0;204.0;2898.0;0.0;0.0;0.0030670166015625;
Munich-Barcelona;1345.0;1345.0;12096.0;0.0;0.0;0.01353001594543457;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0079145431518555;
Lisbon-Brussels;1868.0;1868.0;5597.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;6093.0;0.0;0.0;0.008083105087280273;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0126028060913086;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0138788223266602;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0025320053100586;
Cologne-Munich;1438.0;1438.0;8141.0;0.0;0.0;0.0;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0072996616363525;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0037577152252197;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0023131370544434;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0038871765136719;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0031545162200928;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0079102516174316;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0005314350128174;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0033543109893799;
Copenhagen-Lisbon;2636.0;2636.0;4624.0;0.0;0.0;0.0;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.004003286361694336;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0109248161315918;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0013618469238281;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.000786304473877;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0010182857513428;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0017459392547607;
Lyons-Barcelona;1342.0;1342.0;2688.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0018563270568848;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0016884803771973;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0074913501739502;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0023729801177979;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0001673698425293;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0037472248077393;
Geneva-Brussels;677.0;677.0;3645.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0145018100738525;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.003725290298462;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0137710571289062;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0145022869110107;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.000725507736206;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0139734745025635;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;7267.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0039951801300049;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0115349292755127;
Paris-Brussels;285.0;285.0;6036.0;0.0;0.0;0.010349750518798828;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0139410495758057;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.014171838760376;
Hook of Holland-Brussels;172.0;172.0;1314.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;3940.0;0.0;0.0;0.011420726776123047;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.01263427734375;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.004896640777588;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0040674209594727;
