Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0027403831481934;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.014493703842163;
Hamburg-Paris;1149.0;1149.0;3334.0;0.0;0.0;0.0;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0020020008087158203;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.015082597732544;
Copenhagen-Hook of Holland;1466.0;1466.0;5008.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.01271510124206543;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0129601955413818;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0144538879394531;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0011591911315918;
Rome-Stockholm;2707.0;2707.0;5285.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.000943899154663;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0011146068572998;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0015575885772705;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0024940967559814;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0012485980987549;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0014135837554932;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0014064311981201;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.002824306488037;
Lyons-Hook of Holland;1053.0;1053.0;6466.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0025043487548828;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0137193202972412;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.006915807723999;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0013959407806396;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.002361536026001;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0015814304351807;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0023694038391113;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0020408630371094;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0024468898773193;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.002307415008545;
Marseilles-Paris;938.0;938.0;1837.0;0.0;0.0;0.0;
Barcelona-Paris;1316.0;1316.0;1316.0;0.0;0.0;0.0040056705474853516;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0120875835418701;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0060038566589355;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0034115314483643;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.014904499053955;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0043816566467285;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0031673908233643;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0090115070343018;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.002000331878662;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0035030841827393;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0059175491333008;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0006005764007568;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.004555225372314453;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0053083896636963;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.013859510421753;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0129125118255615;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0146255493164062;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0145668983459473;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0061156749725342;
