Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0030863285064697;
Hamburg-Vienna;1233.0;1233.0;6067.0;0.0010001659393310547;0.0;0.0;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0021250247955322;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.002080202102661133;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0062713623046875;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0023243427276611;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;6471.0;0.0;0.0;0.007096290588378906;
Geneva-Vienna;1226.0;1226.0;4949.0;0.0;0.0;0.0039844512939453125;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0079586505889893;
Rome-Stockholm;2707.0;2707.0;2707.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;1438.0;0.0;0.0;0.0;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0050294399261475;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.003530740737915;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0046679973602295;
Stockholm-Rome;2671.0;2671.0;4459.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0049870014190674;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0027446746826172;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0085656642913818;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0027155876159668;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0025582313537598;
Milan-Hook of Holland;1459.0;1459.0;1940.0;0.0;0.0;0.0030770301818847656;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0020363330841064;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0017595291137695;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.001610279083252;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0021800994873047;
Lisbon-Rome;2092.0;2092.0;7690.0;0.0;0.0;0.010613203048706055;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.011960744857788;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0150387287139893;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0155744552612305;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0030739307403564;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0147383213043213;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0006368160247803;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.015542984008789;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0021095275878906;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0073966979980469;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0033180713653564;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0026533603668213;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.006678819656372;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0026607513427734;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0035119056701660156;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0077528953552246;
Munich-Stockholm;1754.0;1754.0;3653.0;0.0;0.0;0.0;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;1751.0;0.0010004043579101562;0.0;0.0041370391845703125;
Gibraltar-Vienna;2969.0;2969.0;2974.0;0.0;0.0;0.0020856857299804688;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.002009868621826172;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0119097232818604;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0017435550689697;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0160198211669922;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0148718357086182;
