Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0045287609100342;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.005847454071045;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0005221366882324;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0025215148925781;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0018501281738281;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0030720233917236;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0000360012054443;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.002140760421753;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0057964324951172;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0138351917266846;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0041661262512207;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.001683235168457;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0019481182098389;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0015957355499268;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.002060890197754;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0023465156555176;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0030395984649658;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0019872188568115;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.002244234085083;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0021579265594482;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0025138854980469;
Copenhagen-Lisbon;2636.0;2636.0;2636.0;0.0;0.0;0.0;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0015411376953125;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0020263195037842;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0000007152557373;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0006859302520752;
Paris-Milan;799.0;799.0;4762.0;0.0;0.0;0.009262561798095703;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0016765594482422;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0019886493682861;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0021300315856934;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.005692720413208;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.002467155456543;
Calais-Vienna;1381.0;1381.0;1381.0;0.0;0.0;0.0;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0143389701843262;
Rome-Gibraltar;2631.0;2631.0;3933.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.006974220275879;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.014220952987671;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.004525899887085;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0140862464904785;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.014880895614624;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0155227184295654;
Marseilles-Madrid;1157.0;1157.0;4640.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.003556489944458;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0018210411071777;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0016255378723145;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0023276805877686;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0011332035064697;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0021276473999023;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0033776760101318;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.000058650970459;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0008249282836914;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0014824867248535;
Munich-Milan;331.0;331.0;3941.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;2428.0;0.0;0.0;0.0030155181884765625;
