Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.000290870666504;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0002105236053467;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0149757862091064;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0077898502349854;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.003087759017944336;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.003971815109253;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0026895999908447;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0039973258972168;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0000898838043213;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0036778450012207;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0145797729492188;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0006370544433594;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0033771991729736;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0043563842773438;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.006544828414917;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0006139278411865;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0015499591827393;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0020344257354736;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0132994651794434;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0062870979309082;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0015275478363037;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.014685869216919;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.013094186782837;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0130071640014648;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0013909339904785;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0137007236480713;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0017471313476562;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0005378723144531;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0002620220184326;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.000791311264038;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0015227794647217;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0007495880126953;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.001021385192871;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0131540298461914;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0051722526550293;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0151710510253906;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0155997276306152;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.013768196105957;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0035223960876465;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.00516676902771;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0141205787658691;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0018587112426758;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0015225410461426;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.001305341720581;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0019595623016357;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0018620491027832;
