Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0125181674957275;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.00571870803833;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.013906478881836;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0009722709655762;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.003751277923584;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0064404010772705;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0149188041687012;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0121605396270752;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0002946853637695;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0013582706451416;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.001091718673706;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0014684200286865;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0031719207763672;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0020620822906494;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.000316858291626;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0018136501312256;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.004833698272705;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.000870943069458;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.00067138671875;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0020298957824707;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.001129150390625;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0033493041992188;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0020973682403564;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0017509460449219;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.001509428024292;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0020089149475098;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0028605461120605;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0008270740509033;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0024561882019043;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0020644664764404;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.002138376235962;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0047218799591064;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0023293495178223;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0031054019927979;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0037968158721924;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0041131973266602;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0010695457458496;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.002384901046753;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0015959739685059;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0004396438598633;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0067410469055176;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.01511549949646;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0008058547973633;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0003511905670166;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0022156238555908;
