Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.003678798675537;
Hamburg-Vienna;1233.0;1233.0;1233.0;0.0010001659393310547;0.0;0.0;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0013799667358398;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0025019645690918;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0148272514343262;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.009746789932251;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0016655921936035;
Gibraltar-Marseilles;1693.0;1693.0;1855.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0015511512756348;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.001936674118042;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.00169038772583;
Cologne-Munich;1438.0;1438.0;4968.0;0.0;0.0;0.008397817611694336;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.000948429107666;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0018019676208496;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0015528202056885;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0151934623718262;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0004422664642334;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0134921073913574;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.013979196548462;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0038433074951172;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0009493827819824;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0145516395568848;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.015087366104126;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.014643669128418;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0046818256378174;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0000882148742676;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0160837173461914;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0144965648651123;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0032117366790771;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.004516363143921;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0000197887420654;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0021841526031494;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0147995948791504;
Lisbon-Lyons;1178.0;1178.0;1178.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0000712871551514;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.004784345626831;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0154006481170654;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0140635967254639;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0154569149017334;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0151455402374268;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.00406813621521;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0088438987731934;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.002112627029419;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0015385150909424;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0015819072723389;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0010485649108887;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0020747184753418;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0012454986572266;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.001661777496338;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0011422634124756;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0014331340789795;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0013091564178467;
Munich-Milan;331.0;331.0;4013.0;0.0;0.0;0.00750279426574707;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0001039505004883;
