Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0123872756958008;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0019307136535645;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0008573532104492;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0141963958740234;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0155651569366455;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0045826435089111;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0077316761016846;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0035319328308105;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0015733242034912;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0021097660064697;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0014336109161377;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.007265329360962;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.00506591796875;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0152561664581299;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0036373138427734;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0049147605895996;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0078480243682861;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.000640869140625;
Lyons-Cherbourg;1273.0;1273.0;7906.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;5454.0;0.0;0.0;0.004670143127441406;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0009727478027344;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0046446323394775;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0042791366577148;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0033040046691895;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0005578994750977;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0156466960906982;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0006232261657715;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0011482238769531;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0067296028137207;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0136821269989014;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.014275312423706;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0133020877838135;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0002186298370361;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.003307819366455;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0149328708648682;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0150988101959229;
Gibraltar-Copenhagen;2697.0;2697.0;3196.0;0.0;0.0;0.0025691986083984375;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0021638870239258;
Rome-Cherbourg;1794.0;1794.0;6236.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0060770511627197266;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0083684921264648;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.0;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.012143611907958984;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.008134126663208;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.014798641204834;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0143859386444092;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0153756141662598;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0022923946380615;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.015312910079956;
