Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;1757.0;0.0;0.0;0.015622138977050781;
Hamburg-Vienna;1233.0;1233.0;7533.0;0.0010001659393310547;0.0;0.005095720291137695;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.007516860961914;
Calais-Brussels;204.0;204.0;1043.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0155339241027832;
Lisbon-Brussels;1868.0;1868.0;3742.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0029234886169434;
Geneva-Vienna;1226.0;1226.0;2262.0;0.0;0.0;0.0;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.003882646560669;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0016672611236572;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0011584758758545;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.003650188446045;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0009162425994873;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0015952587127686;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0032923221588135;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.004798173904419;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0082268714904785;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0021638870239258;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0023808479309082;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0018885135650635;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0025839805603027;
Lisbon-Vienna;2330.0;2330.0;9088.0;0.0;0.0;0.004595279693603516;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0101408958435059;
Copenhagen-Vienna;1532.0;1532.0;2517.0;0.0;0.0009999275207519531;0.0;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0022852420806885;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0155889987945557;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0151512622833252;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0161616802215576;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0149497985839844;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0146796703338623;
Calais-Vienna;1381.0;1381.0;1381.0;0.0;0.0;0.0;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0038762092590332;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.011704921722412;
Geneva-Brussels;677.0;677.0;1790.0;0.0;0.0;0.003560304641723633;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.004005908966064453;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0114350318908691;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0032851696014404;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.013615608215332;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.004490852355957;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.002589464187622;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0153720378875732;
Stockholm-Brussels;1672.0;1672.0;4186.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.015563726425171;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0053088665008545;
Paris-Brussels;285.0;285.0;285.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0083279609680176;
Gibraltar-Vienna;2969.0;2969.0;9041.0;0.0;0.0;0.0030634403228759766;
Hook of Holland-Brussels;172.0;172.0;1314.0;0.0;0.0;0.0030829906463623047;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0110089778900146;
Cologne-Vienna;1790.0;1790.0;9367.0;0.0;0.0;0.004579067230224609;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0068080425262451;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0019683837890625;
