Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0068771839141846;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0099849700927734;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0149006843566895;
Calais-Brussels;204.0;204.0;1043.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0150880813598633;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0151019096374512;
Lisbon-Brussels;1868.0;1868.0;3742.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0011305809020996;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0139954090118408;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0047826766967773;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0020456314086914;
Cologne-Munich;1438.0;1438.0;1438.0;0.0;0.0;0.0;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.001194715499878;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0013296604156494;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0025169849395752;
Lisbon-Hook of Holland;2231.0;2231.0;3794.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;7009.0;0.0009989738464355469;0.0;0.010082483291625977;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0100183486938477;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0019891262054443;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0114152431488037;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0061900615692139;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0026752948760986;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0061347484588623;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0012977123260498;
Paris-Milan;799.0;799.0;3057.0;0.0;0.0;0.0;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0098426342010498;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0027740001678467;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.001922607421875;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0025160312652588;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0029206275939941;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0069162845611572;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0028257369995117;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0152606964111328;
Geneva-Brussels;677.0;677.0;1790.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;4369.0;0.0;0.0009999275207519531;0.003006458282470703;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.007695198059082;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0017266273498535;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0024478435516357;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0021796226501465;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0013113021850586;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;4186.0;0.0;0.0;0.004054546356201172;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0129246711730957;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.013535499572754;
Paris-Brussels;285.0;285.0;285.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0131034851074219;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0002727508544922;
Hook of Holland-Brussels;172.0;172.0;1314.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0036487579345703;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0045654773712158;
Munich-Milan;331.0;331.0;1862.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.00138258934021;
