Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0030853748321533;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0019447803497314;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0099806785583496;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0016636848449707;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0028979778289795;
Copenhagen-Hook of Holland;1466.0;1466.0;6541.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0033128261566162;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.003791093826294;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0028936862945557;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0034723281860352;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0014326572418213;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0144970417022705;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0000402927398682;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0054981708526611;
Vienna-Cherbourg;1588.0;1588.0;1841.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.005687952041626;
Lisbon-Hook of Holland;2231.0;2231.0;9512.0;0.0;0.0;0.008003950119018555;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.001582145690918;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0013525485992432;
Lyons-Hook of Holland;1053.0;1053.0;5027.0;0.0;0.0;0.0005829334259033203;
Lyons-Cherbourg;1273.0;1273.0;1273.0;0.0;0.0;0.008560657501220703;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.010871171951294;
Milan-Hook of Holland;1459.0;1459.0;5106.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0121374130249023;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0009064674377441;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0153627395629883;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0142345428466797;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0140299797058105;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0057506561279297;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0152320861816406;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.000150442123413;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0004825592041016;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0017046928405762;
Lisbon-Lyons;1178.0;1178.0;1178.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0035955905914307;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0004520416259766;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0082695484161377;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0008819103240967;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0007638931274414;
Gibraltar-Copenhagen;2697.0;2697.0;3196.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0014586448669434;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0012872219085693;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.002572774887085;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0001428127288818;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.000661849975586;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0065727233886719;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0150322914123535;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0156269073486328;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.01509690284729;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0146570205688477;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0039622783660889;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0002944469451904;
