Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0026686191558838;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0008788108825684;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.006239652633667;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0141019821166992;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0148696899414062;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0150952339172363;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0142502784729004;
Gibraltar-Marseilles;1693.0;1693.0;8667.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0105228424072266;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.005062580108642578;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0136103630065918;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.000502109527588;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0148944854736328;
Rome-Geneva;1206.0;1206.0;6646.0;0.0;0.0;0.0;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0107667446136475;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0027258396148682;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0115225315093994;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0137176513671875;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0000593662261963;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0078256130218506;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0151958465576172;
Copenhagen-Lisbon;2636.0;2636.0;3793.0;0.0;0.0;0.0;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.002800703048706;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0061943531036377;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0014853477478027;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.001133680343628;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0024745464324951;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0016238689422607;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0017735958099365;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0018084049224854;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.002331018447876;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0013446807861328;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0015947818756104;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0019686222076416;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0014045238494873;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0013370513916016;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0014235973358154;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0009214878082275;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0009634494781494;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.002265214920044;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0009219646453857;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0013635158538818;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.000654935836792;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0145719051361084;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0148468017578125;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.005683422088623;
Hamburg-Rome;1722.0;1722.0;1957.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0050666332244873;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.013664722442627;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0155394077301025;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0011889934539795;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.015289068222046;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0148067474365234;
