Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0023267269134521;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0018837451934814;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0007965564727783;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0015556812286377;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.002457857131958;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.010731697082519531;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.014164686203003;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.001009464263916;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0031859874725342;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0143117904663086;
Rome-Stockholm;2707.0;2707.0;7562.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0093307495117188;
Cherbourg-Lyons;1273.0;1273.0;7248.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0043120384216309;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0045108795166016;
Stockholm-Rome;2671.0;2671.0;3183.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.006554126739501953;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0061824321746826;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.00419020652771;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0054001808166504;
Copenhagen-Lisbon;2636.0;2636.0;2636.0;0.0;0.0;0.004087209701538086;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0019645690917969;
Barcelona-Hamburg;2040.0;2040.0;4803.0;0.0;0.0;0.007656097412109375;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0134849548339844;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0019075870513916;
Lisbon-Rome;2092.0;2092.0;8208.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0010738372802734;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0067100524902344;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0146446228027344;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.001253366470337;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0145187377929688;
Lisbon-Lyons;1178.0;1178.0;8234.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0039641857147217;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0033812522888184;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.003262996673584;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;5315.0;0.0;0.0;0.0;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.003844976425171;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0019299983978271;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0005135536193848;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0054826736450195;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.000962495803833;
Athens-Lyons;3148.0;3148.0;7306.0;0.0;0.0;0.0;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.003669261932373047;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0022382736206055;
Hamburg-Rome;1722.0;1722.0;6450.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.002162218093872;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0023257732391357;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0074987411499023;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.001723051071167;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0133602619171143;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0016930103302002;
