Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0057387351989746;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.001051425933838;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0129847526550293;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0060815811157227;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0011470317840576;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0122368335723877;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0063128471374512;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.000347375869751;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0139083862304688;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.014387607574463;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0134425163269043;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0027601718902588;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0006005764007568;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0043878555297852;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0012052059173584;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0026452541351318;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0085172653198242;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0019516944885254;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0134942531585693;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0144023895263672;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0007953643798828;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0040061473846436;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0004768371582031;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.013129472732544;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0125842094421387;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0029306411743164;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0110394954681396;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0004518032073975;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0155854225158691;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.015681266784668;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0151348114013672;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0027472972869873;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0010292530059814;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0010895729064941;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0146405696868896;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0020947456359863;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0047333240509033;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.015350341796875;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0145058631896973;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0030651092529296875;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0016586780548096;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0017468929290771;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0025882720947266;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.000826358795166;
