Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;2879.0;0.0;0.0;0.01562356948852539;
Hamburg-Vienna;1233.0;1233.0;11914.0;0.0010001659393310547;0.0;0.01100611686706543;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0003743171691895;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0073835849761963;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0155179500579834;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0150456428527832;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.001295804977417;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0053884983062744;
Geneva-Vienna;1226.0;1226.0;10992.0;0.0;0.0;0.0;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.004086971282958984;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0139546394348145;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0152578353881836;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0003042221069336;
Rome-Geneva;1206.0;1206.0;6646.0;0.0;0.0;0.0;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0019629001617432;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0070137977600098;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0021345615386963;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0135951042175293;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0155103206634521;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.002333402633667;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.00893235206604;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0041158199310303;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0037801265716553;
Lisbon-Vienna;2330.0;2330.0;5776.0;0.0;0.0;0.0;
Barcelona-Hamburg;2040.0;2040.0;5947.0;0.0;0.0;0.00708770751953125;
Copenhagen-Vienna;1532.0;1532.0;2610.0;0.0;0.0009999275207519531;0.005646228790283203;
Paris-Milan;799.0;799.0;4156.0;0.0;0.0;0.004003286361694336;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.005563735961914;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0014171600341797;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0084102153778076;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.001258373260498;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0028340816497803;
Calais-Vienna;1381.0;1381.0;3746.0;0.0;0.0;0.0;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.004429817199707;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0039217472076416;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0079736709594727;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0151238441467285;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0135645866394043;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0148279666900635;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0018277168273926;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0052516460418701;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0152628421783447;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.008333444595337;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.001725196838379;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0006277561187744;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0019199848175049;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.000619649887085;
Gibraltar-Vienna;2969.0;2969.0;9017.0;0.0;0.0;0.0;
Hook of Holland-Brussels;172.0;172.0;4935.0;0.0;0.0;0.006060361862182617;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.008845567703247;
Cologne-Vienna;1790.0;1790.0;1866.0;0.0;0.0;0.0;
Munich-Milan;331.0;331.0;17644.0;0.0;0.0;0.01600956916809082;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0155839920043945;
