Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0009710788726807;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0020699501037598;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0010323524475098;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.005495309829712;
Copenhagen-Hook of Holland;1466.0;1466.0;2276.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;4311.0;0.0;0.0;0.006006002426147461;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0148203372955322;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0145576000213623;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0027832984924316;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0009863376617432;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.001835823059082;
Cherbourg-Lyons;1273.0;1273.0;1659.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0022506713867188;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;2707.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;10274.0;0.0;0.0;0.014072895050048828;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0087342262268066;
Barcelona-Madrid;1678.0;1678.0;5513.0;0.0;0.0;0.0;
Lyons-Hook of Holland;1053.0;1053.0;3734.0;0.0;0.0;0.006003618240356445;
Lyons-Cherbourg;1273.0;1273.0;3121.0;0.0;0.0;0.005003929138183594;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0040946006774902;
Milan-Hook of Holland;1459.0;1459.0;1940.0;0.0;0.0;0.002560138702392578;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.016097068786621;
Barcelona-Hamburg;2040.0;2040.0;4803.0;0.0;0.0;0.0;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.005108118057251;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.000809669494629;
Lisbon-Rome;2092.0;2092.0;7749.0;0.0;0.0;0.00719904899597168;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0008411407470703;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.015129804611206;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0023374557495117;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0028460025787354;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.002605676651001;
Lisbon-Lyons;1178.0;1178.0;8003.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0006725788116455;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0144550800323486;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0137054920196533;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.005354642868042;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0138673782348633;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0011053085327148;
Marseilles-Madrid;1157.0;1157.0;4992.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.009644269943237305;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.006018161773681641;
Athens-Lyons;3148.0;3148.0;3471.0;0.0;0.0;0.0029833316802978516;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0025134086608887;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0033204555511475;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0047199726104736;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0018830299377441;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.014038324356079;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0149853229522705;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.002397060394287;
