Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0090289115905762;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0000381469726562;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0073909759521484;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.014876365661621;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.001347303390503;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0007996559143066;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0136325359344482;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0150847434997559;
Athens-Geneva;3010.0;3010.0;6460.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0148813724517822;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0034244060516357;
Cherbourg-Lyons;1273.0;1273.0;5303.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;5908.0;0.0;0.0;0.007006406784057617;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.012427568435669;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0153989791870117;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0011835098266602;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0147809982299805;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.006087303161621;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0018746852874756;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0022914409637451;
Copenhagen-Lisbon;2636.0;2636.0;2636.0;0.0;0.0;0.0;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.009084939956665;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0027999877929688;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.006258249282837;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0027096271514893;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0042424201965332;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0071027278900146;
Lyons-Barcelona;1342.0;1342.0;2207.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.003783941268921;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0080585479736328;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.002673625946045;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0016858577728271;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0133788585662842;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0036523342132568;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0024664402008057;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0027656555175781;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0020198822021484;
Brussels-Geneva;677.0;677.0;5538.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0057129859924316;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0054008960723877;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0069594383239746;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0150184631347656;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0151500701904297;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0147337913513184;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0003399848937988;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0005640983581543;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0012750625610352;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0072875022888184;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.001905918121338;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.001744270324707;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0003795623779297;
