Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0011484622955322;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0005264282226562;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0015802383422852;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0020294189453125;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0020966529846191;
Copenhagen-Hook of Holland;1466.0;1466.0;4832.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.002284288406372;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.012932538986206;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0029730796813965;
Athens-Geneva;3010.0;3010.0;4222.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.004462718963623;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0030250549316406;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0160644054412842;
Rome-Geneva;1206.0;1206.0;3476.0;0.0;0.0;0.0;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0013599395751953;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0151047706604004;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0013837814331055;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0010828971862793;
Barcelona-Madrid;1678.0;1678.0;1678.0;0.0;0.0;0.0;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.007213830947876;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0032196044921875;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0039305686950684;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.001955509185791;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.002955436706543;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.006314992904663;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0062825679779053;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.002007007598877;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0134398937225342;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0026166439056396;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.003704309463501;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0034379959106445;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0022034645080566;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0031592845916748;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0021955966949463;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0007452964782715;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0021944046020508;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0027379989624023;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.000166893005371;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0010643005371094;
Brussels-Geneva;677.0;677.0;2324.0;0.0;0.0;0.004657268524169922;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0088577270507812;
Marseilles-Madrid;1157.0;1157.0;1157.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0154943466186523;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0019166469573975;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0004658699035645;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.001089334487915;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0054736137390137;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0018904209136963;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0155484676361084;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.000873327255249;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0009245872497559;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0017931461334229;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0008559226989746;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.014275074005127;
