Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0065405368804932;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.001643180847168;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0065815448760986;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0022344589233398;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;11477.0;0.0;0.0;0.01052236557006836;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0051894187927246;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0001568794250488;
Rome-Stockholm;2707.0;2707.0;2707.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.001100778579712;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0139784812927246;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0000362396240234;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0002944469451904;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0004284381866455;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0012767314910889;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0037281513214111;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0143587589263916;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0014541149139404;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0008671283721924;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0136044025421143;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0055129528045654;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0006113052368164;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0136375427246094;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.012261152267456;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0037341117858887;
Lyons-Barcelona;1342.0;1342.0;3080.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0017995834350586;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0000102519989014;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0150463581085205;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0158393383026123;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0023770332336426;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0008747577667236;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.001215934753418;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0010428428649902;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0014336109161377;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0007452964782715;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0009162425994873;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0016744136810303;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0146162509918213;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0006847381591797;
Paris-Brussels;285.0;285.0;1161.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.011810064315796;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0139679908752441;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0001578330993652;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0038530826568604;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0013153553009033;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.000931978225708;
