Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;11671.0;0.0;0.0;0.02274799346923828;
Hamburg-Vienna;1233.0;1233.0;5870.0;0.0010001659393310547;0.0;0.004999876022338867;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.007972002029419;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0053761005401611;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0139174461364746;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0144734382629395;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0010037422180176;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0144116878509521;
Geneva-Vienna;1226.0;1226.0;4949.0;0.0;0.0;0.0;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0038423538208008;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.001823902130127;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.003218650817871;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0070326328277588;
Rome-Geneva;1206.0;1206.0;3306.0;0.0;0.0;0.0;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0086913108825684;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0149624347686768;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.012002944946289;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.0020062923431396484;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0024163722991943;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0141716003417969;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0153703689575195;
Copenhagen-Lisbon;2636.0;2636.0;2636.0;0.0;0.0;0.0;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0142929553985596;
Lisbon-Vienna;2330.0;2330.0;6885.0;0.0;0.0;0.018096446990966797;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0153651237487793;
Copenhagen-Vienna;1532.0;1532.0;9521.0;0.0;0.0009999275207519531;0.0;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0092747211456299;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0048394203186035;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0141491889953613;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0048434734344482;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.002180576324463;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.001436471939087;
Calais-Vienna;1381.0;1381.0;16160.0;0.0;0.0;0.02080821990966797;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.008230209350586;
Rome-Gibraltar;2631.0;2631.0;3933.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0030045509338378906;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.004063606262207031;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.009103775024414;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0127794742584229;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0010082721710205;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.003300428390503;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0074167251586914;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0048997402191162;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0150768756866455;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0034239292144775;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0013961791992188;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0089197158813477;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0029046535491943;
Gibraltar-Vienna;2969.0;2969.0;2974.0;0.0;0.0;0.0;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0005085468292236;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0031585693359375;
Cologne-Vienna;1790.0;1790.0;5410.0;0.0;0.0;0.0;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.001969575881958;
Hook of Holland-Gibraltar;2428.0;2428.0;8697.0;0.0;0.0;0.0011985301971435547;
