Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.007430076599121;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.001671314239502;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.013171911239624;
Calais-Brussels;204.0;204.0;5303.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0015294551849365;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0006911754608154;
Lisbon-Brussels;1868.0;1868.0;14714.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.002955436706543;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0121638774871826;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0121099948883057;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0130867958068848;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0086231231689453;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;2627.265294313431;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.006532907485962;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0059597492218018;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.003882646560669;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0140211582183838;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0151913166046143;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0113401412963867;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.001713752746582;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0013654232025146;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.00416898727417;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.001162052154541;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0147829055786133;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0027539730072021;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0026330947875977;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.006749153137207;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.001983642578125;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0028810501098633;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0012977123260498;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0015769004821777;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0010969638824463;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0007121562957764;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0030004978179932;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0018608570098877;
Geneva-Brussels;677.0;677.0;6050.0;0.0;0.0;0.008378744125366211;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0010027885437012;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0154595375061035;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0028538703918457;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0000498294830322;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0088999271392822;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.001178503036499;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0038952827453613;
Stockholm-Brussels;1672.0;1672.0;9672.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0035247802734375;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.000868558883667;
Paris-Brussels;285.0;285.0;8441.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0045857429504395;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0053019523620605;
Hook of Holland-Brussels;172.0;172.0;8898.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0048961639404297;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0144846439361572;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.004913330078125;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0024385452270508;
