Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0053422451019287;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0100719928741455;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0024116039276123;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0023679733276367;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0119030475616455;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0014350414276123;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0019192695617676;
Gibraltar-Marseilles;1693.0;1693.0;254525.0;0.0;0.0;0.4763815402984619;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0034661293029785;
Athens-Geneva;3010.0;3010.0;79847.0;0.0;0.0009999275207519531;0.07770133018493652;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0126755237579346;
Cologne-Munich;1438.0;1438.0;32250.0;0.0;0.0;0.04146099090576172;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.000227928161621;
Rome-Geneva;1206.0;1206.0;16920.0;0.0;0.0;0.02090597152709961;
Vienna-Cherbourg;1588.0;1588.0;409545.0;0.0;0.0;0.511329174041748;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0041723251342773;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0024096965789795;
Lyons-Calais;894.0;894.0;47926.0;0.0009989738464355469;0.0;0.06363248825073242;
Barcelona-Madrid;1678.0;1678.0;84491.0;0.0;0.0;0.07564091682434082;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0006532669067383;
Lyons-Cherbourg;1273.0;1273.0;12506.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;8682.0;0.0;0.0;0.009763002395629883;
Milan-Hook of Holland;1459.0;1459.0;1940.0;0.0;0.0;0.004001140594482422;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0116703510284424;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0017645359039307;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.002328872680664;
Paris-Milan;799.0;799.0;30288.0;0.0;0.0;0.036843299865722656;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0036790370941162;
Lyons-Barcelona;1342.0;1342.0;59817.0;0.0;0.0;0.05906510353088379;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0082862377166748;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0064609050750732;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0018951892852783;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0008304119110107;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0126001834869385;
Rome-Gibraltar;2631.0;2631.0;18831.0;0.0;0.0;0.02446293830871582;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0046873092651367;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0019104480743408;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0138804912567139;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0146470069885254;
Brussels-Geneva;677.0;677.0;395192.0;0.0;0.0;0.3715848922729492;
Gibraltar-Copenhagen;2697.0;2697.0;38552.0;0.0;0.0;0.05802464485168457;
Marseilles-Madrid;1157.0;1157.0;54986.0;0.0;0.0;0.062408447265625;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0010035037994384766;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0128262042999268;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0002875328063965;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0048043727874756;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0016498565673828;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0015771389007568;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0012638568878174;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.001652717590332;
Brussels-Munich;1106.0;1106.0;47848.0;0.0;0.0;0.06368160247802734;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0052952766418457;
Munich-Milan;331.0;331.0;19193.0;0.0;0.0;0.023508548736572266;
Hook of Holland-Gibraltar;2428.0;2428.0;26287.0;0.0;0.0;0.03682422637939453;
