Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0127596855163574;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0146450996398926;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0154297351837158;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.003056764602661133;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.001457929611206;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.002305269241333;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.000866413116455;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0005502700805664;
Rome-Stockholm;2707.0;2707.0;11435.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.000115156173706;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.015010118484497;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0153753757476807;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0145516395568848;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0041131973266602;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0147690773010254;
Lyons-Calais;894.0;894.0;10149.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0002260208129883;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0145652294158936;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0004119873046875;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0042195320129395;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0147883892059326;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0005271434783936;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.001431941986084;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0006227493286133;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0009100437164307;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.001185655593872;
Lyons-Barcelona;1342.0;1342.0;3661.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0145127773284912;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.013465166091919;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.013085126876831;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0074217319488525;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0039150714874268;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0028443336486816;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;13636.0;0.0;0.0;0.011008739471435547;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.008643627166748;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.000462532043457;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0077948570251465;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0035650730133057;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0031087398529053;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0008041858673096;
Munich-Stockholm;1754.0;1754.0;11340.0;0.0;0.0;0.008567094802856445;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0070073604583740234;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.015049695968628;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0032742023468018;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0118513107299805;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.014420747756958;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0140833854675293;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0140361785888672;
