Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.01021146774292;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0082473754882812;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0040247440338135;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0013236999511719;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0000762939453125;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0147643089294434;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0051932334899902;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0013079643249512;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0037055015563965;
Rome-Stockholm;2707.0;2707.0;7562.0;0.0;0.0;0.006508827209472656;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0009889602661133;
Cherbourg-Lyons;1273.0;1273.0;7248.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0047485828399658;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.007732629776001;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0015456676483154;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;894.0;0.0009989738464355469;0.0;0.004094600677490234;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.000596523284912;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.003044605255127;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0017428398132324;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0073587894439697;
Barcelona-Hamburg;2040.0;2040.0;4803.0;0.0;0.0;0.0017387866973876953;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0039362907409668;
Paris-Milan;799.0;799.0;7523.0;0.0;0.0;0.0;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0022690296173096;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0020365715026855;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0019443035125732;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0057275295257568;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0038588047027588;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0024669170379639;
Lisbon-Lyons;1178.0;1178.0;8234.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0056023597717285;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0013659000396729;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;5315.0;0.0;0.0;0.007005929946899414;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0020337104797363;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0005977153778076;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.000448226928711;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0011839866638184;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0008883476257324;
Athens-Lyons;3148.0;3148.0;7306.0;0.0;0.0;0.015588521957397461;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.004003286361694336;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0112011432647705;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.002720594406128;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.000112771987915;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0030229091644287;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0024991035461426;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0082223415374756;
Munich-Milan;331.0;331.0;331.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0154204368591309;
