Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.014580249786377;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0143532752990723;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.000481128692627;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0035674571990967;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0030388832092285;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0031540393829346;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0086703300476074;
Gibraltar-Marseilles;1693.0;1693.0;8185.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0050866603851318;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0139031410217285;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.001296043395996;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.000779628753662;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0018069744110107;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0010108947753906;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0124831199645996;
Stockholm-Rome;2671.0;2671.0;3816.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.003455638885498;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.00140380859375;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0061163902282715;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0144412517547607;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0006811618804932;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.001805067062378;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0002963542938232;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0053927898406982;
Barcelona-Hamburg;2040.0;2040.0;5485.0;0.0;0.0;0.0;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.000013828277588;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0149428844451904;
Lisbon-Rome;2092.0;2092.0;7047.0;0.0;0.0;0.016648054122924805;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.013533592224121;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0002503395080566;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0052204132080078;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.014284610748291;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0011863708496094;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.001619577407837;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.00238037109375;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0021624565124512;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.001786708831787;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.000499963760376;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0012595653533936;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0016734600067139;
Gibraltar-Copenhagen;2697.0;2697.0;3647.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0037147998809814;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0000557899475098;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0142059326171875;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0029709339141846;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0014967918395996;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0053768157958984;
Hamburg-Rome;1722.0;1722.0;5102.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0006599426269531;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.003319501876831;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0026352405548096;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0151689052581787;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0075392723083496;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.000213861465454;
