Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0014889240264893;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.000823736190796;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0018751621246338;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0005271434783936;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0011277198791504;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0009334087371826;
Lisbon-Brussels;1868.0;1868.0;6343.0;0.0;0.0;0.0063571929931640625;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.013789415359497;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0142083168029785;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.015385389328003;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0000555515289307;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.001448154449463;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.001142978668213;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0146496295928955;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0079374313354492;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0042335987091064;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0026795864105225;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.003577709197998;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0016801357269287;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0073280334472656;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.003779649734497;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.009007215499878;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.003495454788208;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0031638145446777;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0073413848876953;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0016157627105713;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0004193782806396;
Madrid-Paris;1830.0;1830.0;1830.0;0.0;0.0;0.0;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0080993175506592;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0019006729125977;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0055146217346191;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.001490831375122;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0026299953460693;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.00380539894104;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0017821788787842;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0082762241363525;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0010831356048584;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0016756057739258;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0031554698944092;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0009739398956299;
Rome-Cherbourg;1794.0;1794.0;2810.0;0.0;0.0;0.002086162567138672;
Stockholm-Brussels;1672.0;1672.0;3112.0;0.0;0.0;0.00408482551574707;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0053918361663818;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0023226737976074;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0156726837158203;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.01588773727417;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0146937370300293;
Hook of Holland-Brussels;172.0;172.0;2726.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0037555694580078;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0015337467193604;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.00242018699646;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0030770301818848;
