Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0065033435821533;
Hamburg-Vienna;1233.0;1233.0;1233.0;0.0010001659393310547;0.0;0.0;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0010685920715332;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0021600723266602;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0015952587127686;
Copenhagen-Hook of Holland;1466.0;1466.0;4832.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0053465366363525;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0019397735595703;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0074431896209717;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.012758493423462;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0146608352661133;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0004403591156006;
Rome-Geneva;1206.0;1206.0;6646.0;0.0;0.0;0.0;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0020623207092285156;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0124549865722656;
Lisbon-Hook of Holland;2231.0;2231.0;8734.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0054314136505127;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0018017292022705;
Lyons-Hook of Holland;1053.0;1053.0;7556.0;0.0;0.0;0.01839590072631836;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.004517793655395508;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.000680923461914;
Milan-Hook of Holland;1459.0;1459.0;7228.0;0.0;0.0;0.00949859619140625;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0125648975372314;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0127182006835938;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0029501914978027;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0151188373565674;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0015134811401367;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.001159906387329;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0000519752502441;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.014176368713379;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0154802799224854;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0148389339447021;
Lisbon-Lyons;1178.0;1178.0;1178.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.010617971420288;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0036795139312744;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.000662088394165;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0023510456085205;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0016064643859863;
Marseilles-Madrid;1157.0;1157.0;4276.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.0030858516693115234;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.000476598739624;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.006718397140503;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.002885341644287;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0003235340118408;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0020630359649658;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0016899108886719;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0070512294769287;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0021233558654785;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0029616355895996;
Munich-Milan;331.0;331.0;4013.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0025463104248047;
