Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0114247798919678;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0111687183380127;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0001583099365234;
Calais-Brussels;204.0;204.0;2002.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0000786781311035;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0139389038085938;
Lisbon-Brussels;1868.0;1868.0;4701.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0103342533111572;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.000924825668335;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.00177001953125;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0016624927520752;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0012187957763672;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.001565933227539;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0007054805755615;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0012574195861816;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0010442733764648;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0014417171478271;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0016734600067139;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.002547264099121;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0012567043304443;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0006992816925049;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.002350091934204;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0023622512817383;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.002018928527832;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0012788772583008;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0017526149749756;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0021049976348877;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0024824142456055;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0027010440826416;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0025856494903564;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0022084712982178;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0022573471069336;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0033230781555176;
Geneva-Brussels;677.0;677.0;2749.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0040538311004639;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0021605491638184;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0023329257965088;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.001943826675415;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.002469778060913;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0018129348754883;
Rome-Cherbourg;1794.0;1794.0;4247.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;4186.0;0.0;0.0;0.010646581649780273;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0145416259765625;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0029237270355225;
Paris-Brussels;285.0;285.0;3420.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0027680397033691;
Gibraltar-Vienna;2969.0;2969.0;2974.0;0.0;0.0;0.0;
Hook of Holland-Brussels;172.0;172.0;5686.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0029971599578857;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0016272068023682;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.000199317932129;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0145306587219238;
