Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0011467933654785;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.001276969909668;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0077524185180664;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0009455680847168;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.013592004776001;
Copenhagen-Hook of Holland;1466.0;1466.0;4832.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0044808387756348;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0088591575622559;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0006330013275146;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0021228790283203;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0023388862609863;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0021510124206543;
Rome-Geneva;1206.0;1206.0;6646.0;0.0;0.0;0.0;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0077826976776123;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0151958465576172;
Lisbon-Hook of Holland;2231.0;2231.0;8734.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0011131763458252;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.015146017074585;
Lyons-Hook of Holland;1053.0;1053.0;7556.0;0.0;0.0;0.010005474090576172;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.000767469406128;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0013747215270996;
Milan-Hook of Holland;1459.0;1459.0;7228.0;0.0;0.0;0.0035867691040039062;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0060899257659912;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0140156745910645;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0015802383422852;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.014976978302002;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0054638385772705;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0016257762908936;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.001868486404419;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0020122528076172;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0007400512695312;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0041117668151855;
Lisbon-Lyons;1178.0;1178.0;1178.0;0.0;0.0;0.0;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0028793811798096;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0007984638214111;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0149264335632324;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0004336833953857;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.004727840423584;
Marseilles-Madrid;1157.0;1157.0;4276.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0144436359405518;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0147042274475098;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.010094165802002;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0020878314971924;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0010647773742676;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.003018856048584;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0015995502471924;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0028786659240723;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0012907981872559;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0026423931121826;
Munich-Milan;331.0;331.0;4013.0;0.0;0.0;0.0040111541748046875;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0049033164978027;
