Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.002469778060913;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0054101943969727;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0004322528839111;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.000110387802124;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.002537727355957;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0003364086151123;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.00626540184021;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0023493766784668;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0010464191436768;
Athens-Geneva;3010.0;3010.0;4694.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0142199993133545;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.00272798538208;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.008439540863037;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.001915454864502;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0012226104736328;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0008184909820557;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0008089542388916;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0106308460235596;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0044949054718018;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0014455318450928;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0039899349212646;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0002036094665527;
Milan-Hook of Holland;1459.0;1459.0;1940.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0024399757385254;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0005836486816406;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0009779930114746;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0027663707733154;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0011446475982666;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0013797283172607;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.001601219177246;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0015997886657715;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0022151470184326;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0010175704956055;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0090088844299316;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0003952980041504;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0155110359191895;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0141444206237793;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0152888298034668;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0033128261566162;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0002403259277344;
Gibraltar-Copenhagen;2697.0;2697.0;3196.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.002511739730835;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0001676082611084;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0131628513336182;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0038435459136963;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.000535011291504;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0032148361206055;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.004608392715454;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0163078308105469;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.011770248413086;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0025124549865723;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.00337815284729;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0034565925598145;
