Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0020818710327148;
Hamburg-Vienna;1233.0;1233.0;1233.0;0.0010001659393310547;0.0;0.004506111145019531;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0090363025665283;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.000126838684082;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0152738094329834;
Copenhagen-Hook of Holland;1466.0;1466.0;4777.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.007847547531128;
Gibraltar-Marseilles;1693.0;1693.0;1855.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0018904209136963;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0016660690307617;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0022566318511963;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0146241188049316;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0058891773223877;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0022947788238525;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0024089813232422;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.000199556350708;
Lisbon-Hook of Holland;2231.0;2231.0;7358.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.000305414199829;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0024845600128174;
Lyons-Hook of Holland;1053.0;1053.0;6353.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;5622.0;0.0;0.0;0.008086204528808594;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0133886337280273;
Milan-Hook of Holland;1459.0;1459.0;1940.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.001647710800171;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0013418197631836;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0010364055633545;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0080556869506836;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0015580654144287;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0019655227661133;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0005569458007812;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.000779628753662;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0040946006774902;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0006940364837646;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0069983005523682;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0019259452819824;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.001173496246338;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.000596284866333;
Lyons-Stockholm;1972.0;1972.0;2226.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.001230239868164;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.015503168106079;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.014981985092163;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0134236812591553;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0051450729370117;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0140841007232666;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0151073932647705;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0140748023986816;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.000654697418213;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0017170906066895;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.00138521194458;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0010530948638916;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.000978946685791;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0007081031799316;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0022430419921875;
