Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0096914768218994;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0017316341400146;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0001578330993652;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0001318454742432;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.002349615097046;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.000946044921875;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0017108917236328;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0018548965454102;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.00148344039917;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.001884937286377;
Rome-Stockholm;2707.0;2707.0;2707.0;0.0;0.0;0.0;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.002699375152588;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0019001960754395;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.002399206161499;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0033080577850342;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0007283687591553;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0016274452209473;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.000488042831421;
Barcelona-Madrid;1678.0;1678.0;1973.0;0.0;0.0;0.0010874271392822266;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0011625289916992;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0008630752563477;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0016188621520996;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.002012014389038;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0007197856903076;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0022931098937988;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0021610260009766;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0015652179718018;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0021941661834717;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0014450550079346;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0010230541229248;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0018823146820068;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.001641035079956;
Calais-Vienna;1381.0;1381.0;1381.0;0.0;0.0;0.0;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.00022554397583;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.002143144607544;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0013909339904785;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0016143321990967;
Lyons-Stockholm;1972.0;1972.0;4377.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0002107620239258;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0134873390197754;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0157349109649658;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0137450695037842;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0059795379638672;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0042366981506348;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.003838300704956;
Munich-Stockholm;1754.0;1754.0;3653.0;0.0;0.0;0.0;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0138580799102783;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0131618976593018;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0037317276000977;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0145516395568848;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.001302719116211;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0105342864990234;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0037407875061035;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0000641345977783;
