Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.011944055557251;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0025014877319336;
Hamburg-Paris;1149.0;1149.0;4665.0;0.0;0.0;0.0;
Calais-Brussels;204.0;204.0;1043.0;0.0;0.0;0.0040056705474853516;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0112636089324951;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0142652988433838;
Lisbon-Brussels;1868.0;1868.0;3742.0;0.0;0.0;0.004561662673950195;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0153493881225586;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0137271881103516;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0051803588867188;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0018672943115234;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0013837814331055;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0149695873260498;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.014939308166504;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.005340337753296;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0010709762573242;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0010449886322021;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0026416778564453;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0022821426391602;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0054590702056885;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.013659954071045;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0144574642181396;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0073699951171875;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0015027523040771;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.001490592956543;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0012564659118652;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0018277168273926;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0012712478637695;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0020489692687988;
Madrid-Paris;1830.0;1830.0;2467.0;0.0;0.0;0.0;
Marseilles-Paris;938.0;938.0;3624.0;0.0;0.0;0.011121273040771484;
Barcelona-Paris;1316.0;1316.0;4145.0;0.0;0.0;0.007002115249633789;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0114538669586182;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0154719352722168;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0142858028411865;
Geneva-Brussels;677.0;677.0;1790.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.000460147857666;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0000717639923096;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0056309700012207;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0149457454681396;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0147416591644287;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0025804042816162;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0099406242370605;
Stockholm-Brussels;1672.0;1672.0;4186.0;0.0;0.0;0.005006074905395508;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0043604373931885;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0020360946655273;
Paris-Brussels;285.0;285.0;285.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0027480125427246;
Gibraltar-Vienna;2969.0;2969.0;2974.0;0.0;0.0;0.0;
Hook of Holland-Brussels;172.0;172.0;1314.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0046095848083496;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.005948543548584;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.007141351699829;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0148494243621826;
