Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0070717334747314;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.001622200012207;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0088167190551758;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0156021118164062;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0130946636199951;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0009477138519287;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0138027667999268;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0050642490386963;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0143637657165527;
Rome-Stockholm;2707.0;2707.0;7562.0;0.0;0.0;0.0060613155364990234;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0154201984405518;
Cherbourg-Lyons;1273.0;1273.0;7248.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0142788887023926;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.012793779373169;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0149204730987549;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0000758171081543;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0142579078674316;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.000809907913208;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.012993574142456;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0025227069854736;
Barcelona-Hamburg;2040.0;2040.0;4803.0;0.0;0.0;0.0;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0154697895050049;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.014418601989746;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.013866901397705;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0145397186279297;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0033793449401855;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0121111869812012;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0120246410369873;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0134704113006592;
Lisbon-Lyons;1178.0;1178.0;8234.0;0.0;0.0;0.00656437873840332;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.013535499572754;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0055534839630127;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.002751111984253;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;5315.0;0.0;0.0;0.0;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0036742687225342;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.014899492263794;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0115110874176025;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0034198760986328;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0149362087249756;
Athens-Lyons;3148.0;3148.0;7306.0;0.0;0.0;0.0;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.0030059814453125;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0113866329193115;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.006730556488037;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0016825199127197;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.001497745513916;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0014805793762207;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0021040439605713;
Munich-Milan;331.0;331.0;331.0;0.0;0.0;0.0015611648559570312;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0001623630523682;
