Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0019419193267822;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0003914833068848;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.002089262008667;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;2870.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.010109901428222656;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.008554220199585;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0070054531097412;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.001976490020752;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.000760555267334;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0022826194763184;
Cherbourg-Lyons;1273.0;1273.0;12700.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.004079818725586;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0154240131378174;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0048227310180664;
Lisbon-Hook of Holland;2231.0;2231.0;9166.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.00227952003479;
Barcelona-Madrid;1678.0;1678.0;10629.0;0.0;0.0;0.0;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.011388063430786133;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0001130104064941;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0049917697906494;
Milan-Hook of Holland;1459.0;1459.0;1667.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0037262439727783;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0098669528961182;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0009872913360596;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0027174949645996;
Lisbon-Rome;2092.0;2092.0;2765.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;2089.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.003232479095459;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.001997947692871;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0078198909759521;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0093555450439453;
Lisbon-Lyons;1178.0;1178.0;4433.0;0.0;0.0;0.0060024261474609375;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0148916244506836;
Geneva-Brussels;677.0;677.0;4403.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0148165225982666;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0000064373016357;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0019798278808594;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0121750831604004;
Gibraltar-Copenhagen;2697.0;2697.0;5411.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;12358.0;0.0;0.0;0.009935617446899414;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0094788074493408;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;9361.0;0.0;0.0;0.009113550186157227;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0061776638031006;
Paris-Brussels;285.0;285.0;4399.0;0.0;0.0;0.0025484561920166016;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0002591609954834;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.013735055923462;
Hook of Holland-Brussels;172.0;172.0;6906.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.001131534576416;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0151140689849854;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0143780708312988;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0002741813659668;
