Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.007859468460083;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0001749992370605;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0018236637115479;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0023841857910156;
Munich-Barcelona;1345.0;1345.0;1345.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0005476474761963;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0021464824676514;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0022692680358887;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.001786470413208;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0022666454315186;
Rome-Stockholm;2707.0;2707.0;8869.0;0.0;0.0;0.010789632797241211;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0107202529907227;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0007061958312988;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0155079364776611;
Vienna-Cherbourg;1588.0;1588.0;7166.0;0.0;0.0;0.01562047004699707;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.002399206161499;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0142459869384766;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.01326322555542;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.003441572189331;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.012850284576416;
Lyons-Cherbourg;1273.0;1273.0;6009.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0058724880218506;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0015568733215332;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0022854804992676;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0022268295288086;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.002054214477539;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.00089430809021;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0018665790557861;
Lyons-Barcelona;1342.0;1342.0;10267.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0010359287261963;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.008603572845459;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0015254020690918;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0025250911712646;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0033318996429443;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0009701251983643;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0057957172393799;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0043361186981201;
Lyons-Stockholm;1972.0;1972.0;11320.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0045487880706787;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0146958827972412;
Gibraltar-Copenhagen;2697.0;2697.0;3196.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0003595352172852;
Rome-Cherbourg;1794.0;1794.0;3444.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0081822872161865;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0029373168945312;
Munich-Stockholm;1754.0;1754.0;8774.0;0.0;0.0;0.0;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0055429935455322;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0061120986938477;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.004462718963623;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0065827369689941;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0011484622955322;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0008158683776855;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0038015842437744;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0007975101470947;
