Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0023882389068604;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.014512062072754;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0014591217041016;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0006303787231445;
Copenhagen-Hook of Holland;1466.0;1466.0;11157.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;4522.0;0.0;0.0;0.005053520202636719;
Gibraltar-Marseilles;1693.0;1693.0;1855.0;0.0;0.0;0.0029964447021484375;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0056610107421875;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0060195922851562;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.014718770980835;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0152652263641357;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0145008563995361;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0038824081420898;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0002789497375488;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0016462802886963;
Lisbon-Hook of Holland;2231.0;2231.0;4142.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0011320114135742;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0018298625946045;
Lyons-Hook of Holland;1053.0;1053.0;9498.0;0.0;0.0;0.011373281478881836;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0106775760650635;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0153772830963135;
Milan-Hook of Holland;1459.0;1459.0;9170.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0144460201263428;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0009405612945557;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0140810012817383;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0153238773345947;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0152082443237305;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0015983581542969;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0007374286651611;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0017271041870117;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0036396980285645;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0007996559143066;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.000455379486084;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0002257823944092;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0007505416870117;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0149800777435303;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.004469633102417;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0151376724243164;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.002079725265503;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0143554210662842;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;7503.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0028066635131836;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.006204605102539;
Paris-Brussels;285.0;285.0;9825.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0009870529174805;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.013643741607666;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0142712593078613;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0051755905151367;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0014526844024658;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0016593933105469;
